시구,자치구,동,단지명,단지번호,세대수,동수,준공년월,평형구간,최저매매가_만원,중위매매가_만원,최고매매가_만원,매매건수,전세건수,최소면적_㎡,최대면적_㎡,위도,경도,강남까지_km,회사1_합정_km,회사2_남양_km
양천구,,목동,영등포중흥S-클래스,121758,308,2,202103,24,90000,145000,150000,3,0,77.64,83.86,37.523659,126.886616,12.76,3.75,34.91
양천구,,목동,성원2차,8378,423,4,200012,"24,33",80000,80000,82000,3,0,84.09,84.09,37.542041,126.864416,15.21,4.42,36.53
양천구,,신월동,중앙하이츠,44,473,4,198812,"18,21,33",38000,43000,43000,11,0,63.58,64.74,37.535739,126.843579,16.77,6.37,35.58
양천구,,신월동,신안파크,662,485,11,198712,"18,21",30000,33500,35000,18,0,62.79,62.79,37.523518,126.829502,17.7,7.97,34.11
양천구,,신월동,푸른마을2단지,3786,470,5,200101,"21,24",60000,61500,62000,4,0,70.2,70.2,37.513611,126.835426,17.04,7.98,33.06
양천구,,신월동,동문미도,1673,340,6,198910,"21,24",19000,20000,24000,11,0,67.86,74.55,37.525352,126.826419,18.01,8.15,34.29
양천구,,신월동,신안약수,3777,440,5,198512,"24,33",69000,70000,70000,14,0,82.53,82.53,37.516487,126.847507,16.02,6.9,33.5
양천구,,신월동,신정이펜하우스1단지,102874,466,12,201107,33,85000,85000,85000,1,0,107.79,107.79,37.514855,126.827274,17.77,8.54,33.13
양천구,,신월동,신정이펜하우스2단지,102875,471,20,201104,33,78000,83000,90000,10,0,111.69,112.73,37.515968,126.83048,17.5,8.23,33.28
양천구,,신월동,화곡대림,42,416,5,199208,33,68000,70000,70000,9,0,101.31,101.31,37.533749,126.837229,17.26,6.96,35.31
양천구,,신월동,푸른마을4단지,9897,390,6,200208,33,85000,89000,103000,14,0,110.08,110.32,37.513297,126.839209,16.71,7.71,33.06
양천구,,신정동,현대2차,711,390,2,198710,18,82000,82000,82000,1,0,59.49,59.49,37.520529,126.882797,13.02,4.23,34.49
양천구,,신정동,신트리1단지,672,997,9,199905,21,84000,87000,91000,22,0,69.43,69.64,37.514022,126.854411,15.38,6.56,33.32
양천구,,신정동,학마을1단지,3784,639,6,200010,"21,24",65000,65000,72000,10,0,69.17,69.17,37.508104,126.844413,16.2,7.66,32.54
양천구,,신정동,신트리4단지,3444,845,8,200005,"21,24",65000,70000,74000,32,0,66.66,67.41,37.511138,126.850655,15.68,7.01,32.95
양천구,,신정동,한일유앤아이,14020,390,7,200512,"24,33",65000,65000,65000,4,0,78.7,78.7,37.508384,126.851003,15.62,7.18,32.65
양천구,,신정동,벽산베스트블루밍,100495,339,6,201012,"24,33",84000,86000,87000,7,0,80.1,80.1,37.504706,126.859134,14.88,6.94,32.36
양천구,,신정동,서울가든,118,715,5,198907,"24,33",65000,65000,65000,2,0,82.89,82.89,37.50274,126.860827,14.72,6.99,32.17
양천구,,신정동,고척대우,1068,987,13,199902,"24,33",59800,66500,73000,9,0,84.66,84.66,37.502964,126.856017,15.15,7.27,32.12
양천구,,신정동,센츄리,121,391,5,199403,33,60000,67000,70000,33,0,101.11,101.32,37.504238,126.862059,14.62,6.8,32.35
양천구,,신정동,청구,910,448,4,199906,33,75000,75000,80000,13,0,107.81,107.81,37.501858,126.863758,14.46,6.9,32.12
