검색어,단지번호,단지명_검색결과,주소_검색결과,단지명,주소,총세대수,총동수,입주연월,최저층,최고층,주차대수,용적률,건폐율,위도,경도,평형명,공급면적_㎡,전용면적_㎡,전용평,전용률_%,세대수,방수,욕실수,현관구조,매매건수,매매가_최저,매매가_최고,매매가_범위,매매_평단가,전세건수,전세가_최저,전세가_최고,전세가_범위,전세_평단가,전세가율_%,월세건수,월세가_범위,관리비_연평균,관리비_여름,관리비_겨울
하안주공9단지,1636,주공9단지,경기도 광명시 하안동,주공9단지,경기도 광명시 하안동,1818,15,19900910,15,15,,169,14,37.46762,126.87775,19,63.6,45.77,13.84,72,420,1,1,복도식,9,"4억 8,000","6억 5,000","4억 8,000~6억 5,000","(2,495~3,379만원/3.3㎡)",0,,,,,,0,,173511,147712,220733
하안주공9단지,1636,주공9단지,경기도 광명시 하안동,주공9단지,경기도 광명시 하안동,1818,15,19900910,15,15,,169,14,37.46762,126.87775,24A,80.17,58.01,17.54,72,528,2,1,복도식,9,8억,"9억 8,000","8억~9억 8,000","(3,299~4,041만원/3.3㎡)",0,,,,,,0,,219912,187213,279761
하안주공9단지,1636,주공9단지,경기도 광명시 하안동,주공9단지,경기도 광명시 하안동,1818,15,19900910,15,15,,169,14,37.46762,126.87775,24B,82.53,59.39,17.96,72,630,2,1,복도식,1,"6억 7,000","6억 7,000","6억 7,000","(2,684만원/3.3㎡)",0,,,,,,1,"3,000/110",225143,191667,286417
하안주공9단지,1636,주공9단지,경기도 광명시 하안동,주공9단지,경기도 광명시 하안동,1818,15,19900910,15,15,,169,14,37.46762,126.87775,31,105.49,79.07,23.91,75,240,3,1,복도식,,,,,,,,,,,,,,299749,255180,381327
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,24,82.13,59.99,18.14,73,530,3,2,계단식,48,"13억 6,000",15억,"13억 6,000~15억","(5,474~6,038만원/3.3㎡)",5,"6억 8,000","7억 2,000","6억 8,000~7억 2,000","(2,737~2,898만원/3.3㎡)",45~53%,1,1억/240,196975,174064,254498
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,33A,111.24,84.99,25.7,76,383,3,2,계단식,22,"15억 4,000","19억 5,000","15억 4,000~19억 5,000","(4,577~5,795만원/3.3㎡)",1,"8억 5,000","8억 5,000","8억 5,000","(2,526만원/3.3㎡)",44~55%,3,1억/300~2억/270,279061,246602,360556
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,33C,111.85,84.99,25.7,76,171,3,2,계단식,,,,,,,,,,,,,,279061,246602,360556
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,33E,111.54,84.99,25.7,76,37,3,2,계단식,1,"16억 7,000","16억 7,000","16억 7,000","(4,949만원/3.3㎡)",0,,,,,,0,,279061,246602,360556
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,33F,112.34,84.99,25.7,76,300,3,2,계단식,32,"15억 2,000","17억 5,000","15억 2,000~17억 5,000","(4,473~5,150만원/3.3㎡)",0,,,,,,0,,279061,246602,360556
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,33D,112.03,84.99,25.7,76,149,3,2,계단식,4,17억,"17억 5,000","17억~17억 5,000","(5,016~5,164만원/3.3㎡)",0,,,,,,0,,279061,246602,360556
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,33B,112.22,84.99,25.7,76,46,3,2,계단식,,,,,,,,,,,,,,279061,246602,360556
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,45,151.89,119.63,36.18,79,68,4,2,계단식,1,"16억 8,000","16억 8,000","16억 8,000","(3,656만원/3.3㎡)",0,,,,,,0,,392800,347112,507510
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,48A,160.67,128.81,38.96,80,338,4,2,계단식,38,17억,18억,17억~18억,"(3,498~3,703만원/3.3㎡)",38,11억,12억,11억~12억,"(2,263~2,469만원/3.3㎡)",61~71%,0,,422942,373749,546454
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,48E,160.26,128.81,38.96,80,148,4,2,계단식,15,"17억 2,000",18억,"17억 2,000~18억","(3,548~3,713만원/3.3㎡)",0,,,,,,0,,422942,373749,546454
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,48B,161.34,128.81,38.96,80,177,4,2,계단식,19,"16억 8,000",19억,"16억 8,000~19억","(3,442~3,893만원/3.3㎡)",0,,,,,,0,,422942,373749,546454
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,48D,161.26,128.81,38.96,80,73,4,2,계단식,7,17억,18억,17억~18억,"(3,485~3,690만원/3.3㎡)",0,,,,,,1,8억/120,422942,373749,546454
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,48C,161.86,128.81,38.96,80,39,4,2,계단식,1,"17억 5,000","17억 5,000","17억 5,000","(3,574만원/3.3㎡)",0,,,,,,0,,422942,373749,546454
강서힐스테이트,103305,강서힐스테이트,서울시 강서구 화곡동,강서힐스테이트,서울시 강서구 화곡동,2603,37,20150819,8,21,,259,22,37.546914,126.839257,55,184.26,152.1,46.01,83,144,4,3,계단식,26,17억,"18억 5,000","17억~18억 5,000","(3,050~3,319만원/3.3㎡)",0,,,,,,0,,499414,441325,645258
관악드림타운,2987,관악드림타운,서울시 관악구 봉천동,관악드림타운,서울시 관악구 봉천동,3544,44,20030906,10,27,,267,16,37.490479,126.950561,24,80.43,60,18.15,75,44,3,1,계단식,30,"11억 9,000","11억 9,000","11억 9,000","(4,891만원/3.3㎡)",0,,,,,,0,,144990,177776,115375
