지역,cortarNo,18기준 매매,18기준 전세,18기준 단지수,21기준 매매,21기준 전세,21기준 단지수,24기준 매매,24기준 전세,24기준 단지수,33기준 매매,33기준 전세,33기준 단지수,평당매매,평당전세,매매물수,전세물수,전세가율,년월
종로구,1111000000,87508,48411,82,115363,55610,114,162321,65950,415,190613,80758,614,5723,2633,21996,4277,46%,2026.05
중구,1114000000,104712,46823,70,130351,58695,104,177859,69815,385,234511,88738,649,6635,2748,22332,5376,41%,2026.05
용산구,1117000000,121392,56640,68,135637,71110,89,215438,78781,420,281686,94220,687,7678,3167,25290,5419,41%,2026.05
성동구,1120000000,85678,46100,82,134306,62630,108,166766,70106,357,225895,90053,668,6237,2798,19502,4794,45%,2026.05
광진구,1121500000,120002,60040,91,164231,78784,119,220809,84076,411,278197,101781,822,8029,3418,25660,7637,43%,2026.05
동대문구,1123000000,80703,46100,83,129642,59926,107,145999,64444,389,177301,81528,659,5528,2642,18645,4059,48%,2026.05
중랑구,1126000000,49486,28083,72,73100,38014,109,114626,56794,392,127273,67565,632,3715,1946,19843,2854,52%,2026.05
성북구,1129000000,76686,47250,79,106575,51100,92,150473,64352,421,174227,81257,648,5221,2550,19776,3838,49%,2026.05
강북구,1130500000,48898,26052,67,58719,34266,89,90237,49414,285,103398,63600,496,3101,1766,13467,1442,57%,2026.05
도봉구,1132000000,48980,25928,55,54463,32727,60,62115,40107,150,87015,54476,238,2634,1580,7785,317,60%,2026.05
노원구,1135000000,49138,26052,63,58441,33600,83,67756,44765,225,92812,56840,346,2787,1658,10782,648,59%,2026.05
은평구,1138000000,58176,36775,58,91608,51700,71,102139,58148,197,141474,68723,433,4034,2252,13189,1162,56%,2026.05
서대문구,1141000000,73821,43613,79,91306,48828,100,146315,62385,342,163135,76661,558,4872,2417,15780,1666,50%,2026.05
마포구,1144000000,81596,41809,90,88519,42314,115,150736,61372,447,160653,77458,799,4974,2310,19879,2316,46%,2026.05
양천구,1147000000,46300,29070,185,70315,38237,255,103243,53213,592,128386,71581,936,3528,1955,21308,1612,55%,2026.05
강서구,1150000000,49406,30680,128,71816,37548,190,110163,56462,461,138808,71134,797,3740,2000,16293,1519,53%,2026.05
구로구,1153000000,54059,33864,93,79475,39691,143,110381,55064,491,136442,71863,800,3880,2060,20597,1967,53%,2026.05
금천구,1154500000,52492,27100,41,70081,41875,63,93209,45675,199,111411,63921,261,3378,1834,9163,523,54%,2026.05
영등포구,1156000000,74883,42394,92,88924,41492,169,144496,60909,561,165502,77205,979,4857,2302,23414,2846,47%,2026.05
동작구,1159000000,93811,51256,72,108870,56870,106,183830,72451,440,244425,86728,741,6365,2800,21268,3924,44%,2026.05
관악구,1162000000,84070,51275,66,109982,64365,96,197802,76153,360,269516,91829,581,6579,2967,19086,4123,45%,2026.05
서초구,1165000000,133443,55680,76,186755,77112,101,312701,96705,216,401721,109482,461,10377,3528,16237,7166,34%,2026.05
강남구,1168000000,141840,56254,86,203288,78527,130,272215,92584,319,360795,108450,638,9958,3502,24107,8940,35%,2026.05
송파구,1171000000,149243,51676,77,188247,73273,119,228333,86091,317,283771,101320,632,8842,3254,22716,6982,37%,2026.05
강동구,1174000000,145712,47958,51,173741,69468,82,208497,81982,280,264743,94554,566,8269,3063,19960,4929,37%,2026.05
