지역,cortarNo,18기준 매매,18기준 전세,18기준 단지수,21기준 매매,21기준 전세,21기준 단지수,24기준 매매,24기준 전세,24기준 단지수,33기준 매매,33기준 전세,33기준 단지수,평당매매,평당전세,매매물수,전세물수,전세가율,년월
종로구,1111000000,102270,49400,42,117863,60125,48,174099,63137,129,188796,76562,194,6067,2639,7093,932,43%,2026.05
중구,1114000000,108388,58888,33,132041,61760,49,193578,72901,126,227351,88018,196,6816,2979,9637,1223,44%,2026.05
용산구,1117000000,138582,53475,27,151704,78200,42,267285,86802,129,376548,102825,217,9367,3356,10908,3007,36%,2026.05
성동구,1120000000,97676,51333,50,129316,66166,56,183405,74570,133,213402,88164,274,6423,2945,8827,1264,46%,2026.05
광진구,1121500000,74840,30000,30,196018,76666,32,139900,68526,74,266571,95104,168,6849,2763,3709,853,40%,2026.05
동대문구,1123000000,73891,46666,47,98478,51222,53,143990,62730,152,166932,74169,269,4963,2473,6427,1945,50%,2026.05
중랑구,1126000000,49123,28000,31,70154,41000,42,80251,54176,129,98768,62785,214,3101,1916,3600,491,62%,2026.05
성북구,1129000000,85225,38000,26,90131,42125,48,129537,57372,193,149877,71926,276,4741,2171,8758,2759,46%,2026.05
강북구,1130500000,43331,23600,17,48172,42000,29,107389,55981,80,119722,67892,106,3200,1925,4394,813,60%,2026.05
도봉구,1132000000,48015,25400,37,48527,33800,43,58900,37600,95,77047,50830,141,2441,1531,3942,226,63%,2026.05
노원구,1135000000,50729,26600,30,61872,32909,48,72476,47880,132,101844,61680,193,2967,1727,5660,276,58%,2026.05
은평구,1138000000,57424,35366,48,64040,43714,58,97243,56281,157,120607,64076,263,3486,2083,8621,645,60%,2026.05
서대문구,1141000000,83699,42916,42,83340,45950,62,163932,64500,186,178892,77324,264,5217,2400,9646,1111,46%,2026.05
마포구,1144000000,107105,52800,32,116505,47236,52,179580,67998,167,197213,84816,265,6239,2646,9157,1134,42%,2026.05
양천구,1147000000,37199,16800,41,73484,35350,60,95207,52846,158,132641,74327,297,3388,1767,4645,627,52%,2026.05
강서구,1150000000,50261,29777,52,72520,33725,51,101525,51923,159,128007,65163,322,3588,1849,4828,383,52%,2026.05
구로구,1153000000,42724,28412,63,61088,39441,99,93319,48975,235,113735,63664,342,3154,1856,10517,756,59%,2026.05
금천구,1154500000,47190,19666,20,68645,35600,29,78511,41605,91,104103,54764,114,3079,1545,4191,135,50%,2026.05
영등포구,1156000000,69809,62333,30,99603,47800,52,141230,59492,179,163085,79493,346,4861,2656,7147,679,55%,2026.05
동작구,1159000000,108684,49637,32,107792,50958,47,174449,77675,154,206386,85510,261,6173,2752,8595,1687,45%,2026.05
관악구,1162000000,95883,55525,15,73621,42125,18,96793,52864,78,122853,74548,133,4147,2388,3452,528,58%,2026.05
서초구,1165000000,114851,58026,48,190482,81591,58,345236,98000,118,439403,109654,254,10787,3628,8536,4171,34%,2026.05
강남구,1168000000,154005,56473,60,216465,79148,84,310765,97198,161,372959,111040,350,10778,3580,13063,5927,33%,2026.05
송파구,1171000000,171022,47300,32,168928,66421,54,223074,83060,126,270790,92257,236,8761,3011,10495,3225,34%,2026.05
강동구,1174000000,119540,50000,21,123415,61785,37,167959,74777,116,211497,81684,247,6481,2827,8315,1317,44%,2026.05
