지역,cortarNo,18기준 매매,18기준 전세,18기준 단지수,21기준 매매,21기준 전세,21기준 단지수,24기준 매매,24기준 전세,24기준 단지수,33기준 매매,33기준 전세,33기준 단지수,평당매매,평당전세,매매물수,전세물수,전세가율,년월
종로구,1111000000,102815,49400,41,104949,60125,48,142849,63090,130,155021,77109,194,5339,2643,7088,935,50%,2026.05
중구,1114000000,107153,58888,32,123490,61760,49,177675,72866,127,196891,88450,197,6300,2982,9641,1225,47%,2026.05
용산구,1117000000,184019,53475,26,190757,78200,42,236022,86773,130,275971,102825,218,9375,3356,10914,3016,36%,2026.05
성동구,1120000000,100474,51333,50,126181,66166,56,164126,74570,133,185016,88164,275,6008,2945,8848,1268,49%,2026.05
광진구,1121500000,83630,30000,30,148155,76666,32,157494,68526,74,194904,94965,168,6042,2762,3711,858,46%,2026.05
동대문구,1123000000,77954,46666,47,105502,51222,53,126125,62782,152,140029,74152,269,4713,2473,6449,1938,52%,2026.05
중랑구,1126000000,46437,28000,31,83788,41000,42,98062,54294,130,106569,62750,214,3471,1917,3604,468,55%,2026.05
성북구,1129000000,76494,38000,26,93395,42125,48,110532,57406,193,123747,71911,276,4263,2172,8776,2755,51%,2026.05
강북구,1130500000,42391,23600,17,51323,42000,29,90982,55981,80,103228,67892,106,2929,1925,4391,815,66%,2026.05
도봉구,1132000000,50750,25400,37,54742,33800,43,62728,37600,95,77206,50830,141,2594,1531,3945,228,59%,2026.05
노원구,1135000000,50585,26600,30,65109,33000,48,76222,47880,132,92566,61680,193,2972,1728,5664,276,58%,2026.05
은평구,1138000000,64580,35366,48,83481,43714,58,103674,56281,157,113702,64076,262,3832,2083,8640,644,54%,2026.05
서대문구,1141000000,83922,42916,41,101912,45950,62,145492,64466,186,160812,77609,263,5112,2402,9647,1105,47%,2026.05
마포구,1144000000,102195,52800,32,128792,47236,52,163378,67871,167,183164,84852,264,6042,2645,9156,1127,44%,2026.05
양천구,1147000000,34140,16800,42,68160,37722,60,102038,53500,156,129589,74327,297,3330,1802,4643,631,54%,2026.05
강서구,1150000000,68653,29777,52,82953,33725,51,108961,51923,158,126832,64833,323,4036,1847,4850,386,46%,2026.05
구로구,1153000000,52832,28412,64,73103,39441,99,94493,48489,235,110006,63963,342,3421,1853,10545,761,54%,2026.05
금천구,1154500000,51858,19666,20,67429,35600,29,72424,39584,91,87094,54764,114,2937,1524,4204,137,52%,2026.05
영등포구,1156000000,77274,61750,30,105168,47800,52,136583,59194,178,154257,79493,346,4916,2645,7138,682,54%,2026.05
동작구,1159000000,121063,50788,32,124969,50958,47,163532,77627,154,186501,85675,261,6285,2769,8609,1682,44%,2026.05
관악구,1162000000,112540,55525,15,65947,42125,18,99585,52864,79,119117,74662,133,4287,2388,3464,530,56%,2026.05
서초구,1165000000,167784,58026,48,235401,81591,58,285493,98000,118,337508,109654,254,10663,3628,8565,4184,34%,2026.05
강남구,1168000000,190204,56473,60,236308,78193,84,276597,97198,161,321605,111070,350,10772,3569,13114,5931,33%,2026.05
송파구,1171000000,170736,47300,32,201824,66421,54,232489,83060,127,242598,92573,237,9033,3014,10543,3233,33%,2026.05
강동구,1174000000,164938,50000,21,184235,61785,37,176461,74777,116,186974,81379,247,7738,2825,8303,1313,37%,2026.05
