시구,지표,2026.04 (스크린샷),2026.05 (우리),변화율
강남구,평당매매,"10,299","10,772",+4.6%
강남구,평당전세,"3,269","3,569",+9.2%
강남구,18기준 매매,"131,346","190,204",+44.8%
강남구,18기준 전세,"47,196","56,473",+19.7%
강남구,21기준 매매,"231,987","236,308",+1.9%
강남구,21기준 전세,"68,712","78,193",+13.8%
강남구,24기준 매매,"265,128","276,597",+4.3%
강남구,24기준 전세,"78,528","97,198",+23.8%
강남구,33기준 매매,"344,256","321,605",-6.6%
강남구,33기준 전세,"109,494","111,070",+1.4%
강남구,전세가율,32%,33%,+1%p
서초구,평당매매,"10,473","10,663",+1.8%
서초구,평당전세,"3,719","3,628",-2.4%
서초구,18기준 매매,"89,208","167,784",+88.1%
서초구,18기준 전세,"38,898","58,026",+49.2%
서초구,21기준 매매,"239,316","235,401",-1.6%
서초구,21기준 전세,"80,577","81,591",+1.3%
서초구,24기준 매매,"273,504","285,493",+4.4%
서초구,24기준 전세,"92,088","98,000",+6.4%
서초구,33기준 매매,"375,705","337,508",-10.2%
서초구,33기준 전세,"130,944","109,654",-16.3%
서초구,전세가율,36%,34%,-2%p
용산구,평당매매,"8,228","9,375",+13.9%
용산구,평당전세,"2,730","3,356",+22.9%
용산구,18기준 매매,"100,350","184,019",+83.4%
용산구,18기준 전세,"39,006","53,475",+37.1%
용산구,21기준 매매,"183,162","190,757",+4.1%
용산구,21기준 전세,"54,075","78,200",+44.6%
용산구,24기준 매매,"209,328","236,022",+12.8%
용산구,24기준 전세,"61,800","86,773",+40.4%
용산구,33기준 매매,"256,476","275,971",+7.6%
용산구,33기준 전세,"82,599","102,825",+24.5%
용산구,전세가율,33%,36%,+3%p
송파구,평당매매,"7,609","9,033",+18.7%
송파구,평당전세,"2,605","3,014",+15.7%
송파구,18기준 매매,"136,746","170,736",+24.9%
송파구,18기준 전세,"46,152","47,300",+2.5%
송파구,21기준 매매,"154,476","201,824",+30.7%
송파구,21기준 전세,"55,083","66,421",+20.6%
송파구,24기준 매매,"176,544","232,489",+31.7%
송파구,24기준 전세,"62,952","83,060",+31.9%
송파구,33기준 매매,"269,940","242,598",-10.1%
송파구,33기준 전세,"89,496","92,573",+3.4%
송파구,전세가율,34%,33%,-1%p
성동구,평당매매,"6,792","6,008",-11.5%
성동구,평당전세,"2,582","2,945",+14.1%
성동구,18기준 매매,"131,058","100,474",-23.3%
성동구,18기준 전세,"54,504","51,333",-5.8%
성동구,21기준 매매,"152,418","126,181",-17.2%
성동구,21기준 전세,"55,062","66,166",+20.2%
성동구,24기준 매매,"174,192","164,126",-5.8%
성동구,24기준 전세,"62,928","74,570",+18.5%
성동구,33기준 매매,"211,761","185,016",-12.6%
성동구,33기준 전세,"82,995","88,164",+6.2%
성동구,전세가율,38%,49%,+11%p
양천구,평당매매,"5,977","3,330",-44.3%
양천구,평당전세,"2,149","1,802",-16.1%
양천구,18기준 매매,"100,908","34,140",-66.2%
양천구,18기준 전세,"28,782","16,800",-41.6%
양천구,21기준 매매,"140,385","68,160",-51.4%
양천구,21기준 전세,"44,982","37,722",-16.1%
양천구,24기준 매매,"160,440","102,038",-36.4%
양천구,24기준 전세,"51,408","53,500",+4.1%
양천구,33기준 매매,"178,068","129,589",-27.2%
양천구,33기준 전세,"72,930","74,327",+1.9%
양천구,전세가율,36%,54%,+18%p
광진구,평당매매,"6,414","6,042",-5.8%
광진구,평당전세,"2,657","2,762",+4.0%
광진구,18기준 매매,"77,868","83,630",+7.4%
광진구,18기준 전세,"50,562","30,000",-40.7%
광진구,21기준 매매,"142,443","148,155",+4.0%
광진구,21기준 전세,"54,075","76,666",+41.8%
광진구,24기준 매매,"162,792","157,494",-3.3%
광진구,24기준 전세,"61,800","68,526",+10.9%
광진구,33기준 매매,"216,282","194,904",-9.9%
광진구,33기준 전세,"91,245","94,965",+4.1%
광진구,전세가율,41%,46%,+5%p
마포구,평당매매,"6,093","6,042",-0.8%
마포구,평당전세,"2,519","2,645",+5.0%
마포구,18기준 매매,"93,816","102,195",+8.9%
마포구,18기준 전세,"38,934","52,800",+35.6%
마포구,21기준 매매,"145,761","128,792",-11.6%
마포구,21기준 전세,"54,012","47,236",-12.5%
마포구,24기준 매매,"166,584","163,378",-1.9%
마포구,24기준 전세,"61,728","67,871",+10.0%
마포구,33기준 매매,"191,301","183,164",-4.3%
마포구,33기준 전세,"84,282","84,852",+0.7%
마포구,전세가율,41%,44%,+3%p
강동구,평당매매,"5,483","7,738",+41.1%
강동구,평당전세,"2,451","2,825",+15.3%
강동구,18기준 매매,"94,878","164,938",+73.8%
강동구,18기준 전세,"42,480","50,000",+17.7%
강동구,21기준 매매,"124,728","184,235",+47.7%
강동구,21기준 전세,"53,403","61,785",+15.7%
강동구,24기준 매매,"142,032","176,461",+24.2%
강동구,24기준 전세,"61,032","74,777",+22.5%
강동구,33기준 매매,"174,966","186,974",+6.9%
강동구,33기준 전세,"79,134","81,379",+2.8%
강동구,전세가율,45%,37%,-8%p
영등포구,평당매매,"5,216","4,916",-5.8%
영등포구,평당전세,"2,137","2,645",+23.8%
영등포구,18기준 매매,"66,348","77,274",+16.5%
영등포구,18기준 전세,"33,570","61,750",+83.9%
영등포구,21기준 매매,"112,245","105,168",-6.3%
영등포구,21기준 전세,"45,528","47,800",+5.0%
영등포구,24기준 매매,"128,280","136,583",+6.5%
영등포구,24기준 전세,"52,032","59,194",+13.8%
영등포구,33기준 매매,"168,894","154,257",-8.7%
영등포구,33기준 전세,"70,983","79,493",+12.0%
영등포구,전세가율,41%,54%,+13%p
종로구,평당매매,"4,506","5,339",+18.5%
종로구,평당전세,"2,351","2,643",+12.4%
종로구,18기준 매매,"49,104","102,815",+109.4%
종로구,18기준 전세,"33,264","49,400",+48.5%
종로구,21기준 매매,"96,957","104,949",+8.2%
종로구,21기준 전세,"49,182","60,125",+22.3%
종로구,24기준 매매,"110,808","142,849",+28.9%
