광역,시도코드,시군구,area,학교급,학교명,설립구분,주소,mcode,위도,경도,평균,표준편차,A_pct,B_pct,C_pct,D_pct,E_pct
서울,11,강남구,11680,고,숙명여자고등학교,,서울 강남구 도곡동,UzAxMDAwMDQ3OQ==,,,87.0,,56.1,27.3,7.8,4.0,4.8
서울,11,강남구,11680,고,현대고등학교,,서울특별시 강남구 압구정동 408~425,UzAxMDAwMDU1OQ==,,,86.4,,47.6,29.8,15.4,4.7,2.4
서울,11,강남구,11680,고,단국대학교사범대학부속고등학교,,서울특별시 강남구 대치동,UzAxMDAwMDQwNQ==,,,84.4,,48.2,23.4,13.9,7.0,7.5
서울,11,강남구,11680,고,은광여자고등학교,,서울특별시 강남구 도곡1동,UzAxMDAwMDUxNA==,,,83.7,,46.9,25.9,11.5,7.8,7.8
서울,11,강남구,11680,고,중동고등학교,,서울 강남구 일원1동,UzAxMDAwMDUzMQ==,,,83.7,,33.8,40.7,14.1,7.7,3.7
서울,11,강남구,11680,고,국립국악고등학교,,서울특별시 강남구 개포동,UzAwMDAwMzU0MA==,,,82.8,,31.0,37.1,21.6,7.8,2.6
서울,11,강남구,11680,고,중산고등학교,,서울특별시 강남구 일원동,UzAxMDAwMDUzMg==,,,82.4,,47.1,23.9,10.6,7.5,10.9
서울,11,강남구,11680,고,서울로봇고등학교,,서울특별시 강남구 일원동,UzAxMDAwMDU3Nw==,,,82.2,,23.1,49.2,13.8,7.7,6.2
서울,11,강남구,11680,고,휘문고등학교,,서울특별시 강남구 대치2동,UzAxMDAwMDU2OA==,,,81.9,,23.4,48.6,15.9,5.9,6.2
서울,11,강남구,11680,고,경기여자고등학교,,서울특별시 강남구 개포2동 152~156,UzAxMDAwMDM3Ng==,,,81.4,,12.4,46.9,27.4,8.8,4.5
서울,11,강남구,11680,고,진선여자고등학교,,서울특별시 강남구 역삼동,UzAxMDAwMDUzOA==,,,80.7,,23.0,39.4,23.3,7.7,6.6
서울,11,강남구,11680,고,국립국악고등학교,,서울특별시 강남구 개포동,UzAwMDAwMzU0MA==,,,79.5,,9.1,36.4,45.5,4.5,4.5
서울,11,강남구,11680,고,중앙대학교사범대학부속고등학교,,서울 강남구 도곡2동,UzAxMDAwMDUzNA==,,,78.9,,14.2,42.4,30.3,12.8,0.3
서울,11,강남구,11680,고,영동고등학교,,서울특별시 강남구 청담동,UzAxMDAwMDQ5NQ==,,,77.7,,15.9,27.2,29.7,25.2,2.0
