광역,시도코드,시군구,area,학교급,학교명,설립구분,주소,mcode,위도,경도,평균,표준편차,A_pct,B_pct,C_pct,D_pct,E_pct
서울,11,강남구,11680,중,휘문중학교,,서울특별시 강남구 대치동,UzAxMDAwMDczNg==,,,92.1,0.0,79.1,9.2,4.0,4.0,3.7
서울,11,강남구,11680,중,진선여자중학교,,서울특별시 강남구 역삼2동,UzAxMDAwMDczNA==,,,89.4,0.0,66.4,17.1,10.5,4.5,1.5
서울,11,강남구,11680,중,은성중학교,,서울특별시 강남구 도곡동,UzAxMDAwMDczMQ==,,,89.1,0.0,68.5,19.1,5.6,3.1,3.7
서울,11,강남구,11680,중,봉은중학교,,서울특별시 강남구 삼성동,UzAxMDAwMDcxMw==,,,89.1,0.0,60.2,24.7,10.8,3.2,1.1
서울,11,강남구,11680,중,대청중학교,,서울특별시 강남구 대치1동,UzAxMDAwMDcwNw==,,,88.2,0.0,63.7,20.4,8.6,2.9,4.4
서울,11,강남구,11680,중,대명중학교,,서울특별시 강남구 대치2동 948~961,UzAxMDAwMDcwNQ==,,,88.1,0.0,63.9,18.8,7.9,3.0,6.4
서울,11,강남구,11680,중,신사중학교,,서울특별시 강남구 압구정동,UzAxMDAwMDcyNA==,,,86.7,0.0,60.4,18.8,7.9,5.0,7.9
서울,11,강남구,11680,중,개포중학교,,서울특별시 강남구 개포1동,UzAxMDAwMDY5OQ==,,,86.1,0.0,54.8,25.2,9.4,5.8,4.8
서울,11,강남구,11680,중,대왕중학교,,서울특별시 강남구 수서동,UzAxMDAwMDcwNg==,,,86.0,0.0,50.3,27.4,12.2,5.1,5.1
서울,11,강남구,11680,중,단국대학교사범대학부속중학교,,서울특별시 강남구 대치동,UzAxMDAwMDcwNA==,,,85.9,0.0,50.8,30.7,8.5,3.0,7.0
서울,11,강남구,11680,중,청담중학교,,서울특별시 강남구 청담1동,UzAxMDAwMDczNQ==,,,84.6,0.0,48.4,25.3,13.7,6.3,6.3
서울,11,강남구,11680,중,역삼중학교,,서울 강남구 역삼2동,UzAxMDAwMDcyOA==,,,84.4,0.0,48.0,26.1,14.1,4.8,7.0
서울,11,강남구,11680,중,도곡중학교,,서울특별시 강남구 도곡1동,UzAxMDAwMDcwOQ==,,,83.8,0.0,55.1,17.3,11.4,4.8,11.4
서울,11,강남구,11680,중,개원중학교,,서울 강남구 개포3동,UzAxMDAwMDY5OA==,,,81.7,0.0,41.2,27.0,13.2,8.4,10.1
서울,11,강남구,11680,중,숙명여자중학교,,서울특별시 강남구 도곡동,UzAxMDAwMDcyMA==,,,81.6,0.0,30.0,43.9,10.2,7.6,8.3
서울,11,강남구,11680,중,대치중학교,,서울특별시 강남구 도곡동,UzAxMDAwMDcwOA==,,,81.2,0.0,42.1,23.0,12.0,10.5,12.4
서울,11,강남구,11680,중,신구중학교,,서울 강남구 신사동,UzAxMDAwMDcyMQ==,,,80.9,0.0,40.3,27.3,9.1,11.7,11.7
서울,11,강남구,11680,중,세곡중학교,,서울특별시 강남구 자곡동,UzAxMDAwNTgyOQ==,,,80.6,0.0,43.8,24.6,10.9,7.1,13.6
서울,11,강남구,11680,중,구룡중학교,,서울 강남구 개포1동,UzAxMDAwMDcwMQ==,,,80.5,0.0,33.5,32.3,16.6,6.5,11.1
서울,11,강남구,11680,중,중동중학교,,서울특별시 강남구 일원동,UzAxMDAwMDczMw==,,,79.0,0.0,30.9,29.3,17.4,8.8,13.6
서울,11,강남구,11680,중,압구정중학교,,서울특별시 강남구 압구정동,UzAxMDAwMDcwMg==,,,77.9,0.0,37.3,19.7,16.2,9.2,17.6
서울,11,강남구,11680,중,언주중학교,,서울특별시 강남구 삼성2동,UzAxMDAwMDcyNw==,,,77.7,0.0,35.2,24.7,13.3,11.1,15.7
서울,11,강남구,11680,중,수서중학교,,서울특별시 강남구 수서동,UzAxMDAwMDcxOQ==,,,76.4,0.0,36.4,19.4,15.5,8.7,19.9
서울,11,강남구,11680,중,언북중학교,,서울특별시 강남구 논현2동,UzAxMDAwMDcyNg==,,,70.5,0.0,20.0,21.0,18.1,13.3,27.6
서울,11,종로구,11110,중,중앙중학교,,서울특별시 종로구 계동,UzAxMDAwMjM1OQ==,,,90.1,0.0,65.1,24.1,4.8,3.6,2.4
서울,11,종로구,11110,중,배화여자중학교,,서울특별시 종로구 필운동,UzAxMDAwMjM0NA==,,,88.6,0.0,59.5,24.6,7.1,6.3,2.4
