광역,시도코드,시군구,area,학교명,설립구분,주소,mcode,위도,경도,과고,외고국제고,자사고,영재고,총인원,남,여,특목고계,특목고비율_pct
서울,11,강남구,11680,봉은중학교,,서울특별시 강남구 삼성동,UzAxMDAwMDcxMw==,,,0,6,7,0,87,44,43,6,6.9
서울,11,강남구,11680,압구정중학교,,서울특별시 강남구 압구정동,UzAxMDAwMDcwMg==,,,2,6,49,0,118,50,68,8,6.78
서울,11,강남구,11680,역삼중학교,,서울 강남구 역삼2동,UzAxMDAwMDcyOA==,,,4,18,65,12,394,260,134,22,5.58
서울,11,강남구,11680,대치중학교,,서울특별시 강남구 도곡동,UzAxMDAwMDcwOA==,,,3,5,18,0,145,93,52,8,5.52
서울,11,강남구,11680,단국대학교사범대학부속중학교,,서울특별시 강남구 대치동,UzAxMDAwMDcwNA==,,,10,1,46,0,204,204,0,11,5.39
서울,11,강남구,11680,숙명여자중학교,,서울특별시 강남구 도곡동,UzAxMDAwMDcyMA==,,,2,14,15,2,301,0,301,16,5.32
서울,11,강남구,11680,진선여자중학교,,서울특별시 강남구 역삼2동,UzAxMDAwMDczNA==,,,1,15,27,1,314,0,314,16,5.1
서울,11,강남구,11680,구룡중학교,,서울 강남구 개포1동,UzAxMDAwMDcwMQ==,,,5,6,37,2,234,132,102,11,4.7
서울,11,강남구,11680,대명중학교,,서울특별시 강남구 대치2동 948~961,UzAxMDAwMDcwNQ==,,,4,11,74,2,331,177,154,15,4.53
서울,11,강남구,11680,도곡중학교,,서울특별시 강남구 도곡1동,UzAxMDAwMDcwOQ==,,,1,9,22,1,221,130,91,10,4.52
서울,11,강남구,11680,휘문중학교,,서울특별시 강남구 대치동,UzAxMDAwMDczNg==,,,5,6,109,10,263,263,0,11,4.18
서울,11,강남구,11680,대왕중학교,,서울특별시 강남구 수서동,UzAxMDAwMDcwNg==,,,3,8,37,1,290,164,126,11,3.79
서울,11,강남구,11680,개포중학교,,서울특별시 강남구 개포1동,UzAxMDAwMDY5OQ==,,,1,4,21,1,144,48,96,5,3.47
서울,11,강남구,11680,대청중학교,,서울특별시 강남구 대치1동,UzAxMDAwMDcwNw==,,,2,10,65,11,367,206,161,12,3.27
서울,11,강남구,11680,신구중학교,,서울 강남구 신사동,UzAxMDAwMDcyMQ==,,,0,3,31,0,94,45,49,3,3.19
서울,11,강남구,11680,개원중학교,,서울 강남구 개포3동,UzAxMDAwMDY5OA==,,,0,9,15,4,291,98,193,9,3.09
서울,11,강남구,11680,언주중학교,,서울특별시 강남구 삼성2동,UzAxMDAwMDcyNw==,,,0,9,41,2,308,166,142,9,2.92
서울,11,강남구,11680,세곡중학교,,서울특별시 강남구 자곡동,UzAxMDAwNTgyOQ==,,,2,7,22,1,333,156,177,9,2.7
서울,11,강남구,11680,청담중학교,,서울특별시 강남구 청담1동,UzAxMDAwMDczNQ==,,,0,2,13,4,93,49,44,2,2.15
서울,11,강남구,11680,언북중학교,,서울특별시 강남구 논현2동,UzAxMDAwMDcyNg==,,,1,1,8,1,94,53,41,2,2.13
서울,11,강남구,11680,은성중학교,,서울특별시 강남구 도곡동,UzAxMDAwMDczMQ==,,,1,2,11,0,144,64,80,3,2.08
서울,11,강남구,11680,수서중학교,,서울특별시 강남구 수서동,UzAxMDAwMDcxOQ==,,,1,2,8,1,152,65,87,3,1.97
서울,11,강남구,11680,신사중학교,,서울특별시 강남구 압구정동,UzAxMDAwMDcyNA==,,,1,1,45,1,107,52,55,2,1.87
서울,11,강남구,11680,중동중학교,,서울특별시 강남구 일원동,UzAxMDAwMDczMw==,,,2,0,119,3,296,296,0,2,0.68
서울,11,종로구,11110,서울대학교사범대학부설여자중학교,,서울특별시 종로구 이화동,UzAwMDAwMzU2Mg==,,,1,7,6,0,98,0,98,8,8.16
서울,11,종로구,11110,상명대학교사범대학부속여자중학교,,서울특별시 종로구 홍지동,UzAxMDAwMjM0Ng==,,,0,5,7,2,73,0,73,5,6.85
서울,11,종로구,11110,중앙중학교,,서울특별시 종로구 계동,UzAxMDAwMjM1OQ==,,,0,4,17,1,77,52,25,4,5.19
서울,11,종로구,11110,청운중학교,,서울특별시 종로구 청운동,UzAxMDAwMjM2MQ==,,,1,5,26,0,127,127,0,6,4.72
서울,11,종로구,11110,배화여자중학교,,서울특별시 종로구 필운동,UzAxMDAwMjM0NA==,,,0,6,13,2,132,0,132,6,4.55
서울,11,종로구,11110,동성중학교,,서울특별시 종로구 혜화동,UzAxMDAwMjM0Mg==,,,0,3,1,0,68,68,0,3,4.41
서울,11,종로구,11110,대신중학교,,서울특별시 종로구 사직로 9,UzAxMDAwMjMzOQ==,,,0,3,20,0,90,90,0,3,3.33
서울,11,종로구,11110,경신중학교,,서울특별시 종로구 혜화로 74,UzAxMDAwMjMzNg==,,,0,2,6,0,66,66,0,2,3.03
서울,11,종로구,11110,덕성여자중학교,,서울특별시 종로구 송현동,UzAxMDAwMjM0MA==,,,0,2,3,0,46,0,46,2,4.35
서울,11,광진구,11215,대원국제중학교,,서울특별시 광진구 중곡4동 176,UzAxMDAwMjE1MQ==,,,4,42,55,3,163,77,86,46,28.22
서울,11,광진구,11215,양진중학교,,서울특별시 광진구 광장동,UzAxMDAwNTI4Ng==,,,4,12,47,0,287,152,135,16,5.57
서울,11,광진구,11215,광남중학교,,서울 광진구 광장동,UzAxMDAwMjE0NQ==,,,5,11,62,8,345,176,169,16,4.64
서울,11,광진구,11215,동국대학교사범대학부속가람중학교,,서울 광진구 구의1동,UzAxMDAwMjE1Mw==,,,0,3,4,0,131,0,131,3,2.29
서울,11,광진구,11215,용곡중학교,,서울특별시 광진구 중곡4동,UzAxMDAwMjE1OQ==,,,0,4,6,0,207,108,99,4,1.93
서울,11,광진구,11215,구의중학교,,서울특별시 광진구 화양동 301~550,UzAxMDAwMjE1MA==,,,1,1,7,0,121,85,36,2,1.65
서울,11,광진구,11215,건국대학교사범대학부속중학교,,서울특별시 광진구 화양동,UzAxMDAwMjE0Mw==,,,1,2,6,1,193,144,49,3,1.55
서울,11,광진구,11215,자양중학교,,서울특별시 광진구 자양3동,UzAxMDAwMjE2MA==,,,0,3,29,0,209,119,90,3,1.44
서울,11,광진구,11215,신양중학교,,서울특별시 광진구 자양4동,UzAxMDAwMjE1Nw==,,,0,1,4,0,75,37,38,1,1.33
서울,11,광진구,11215,광장중학교,,서울특별시 광진구 광장동,UzAxMDAwMjE0Nw==,,,0,1,8,3,173,84,89,1,0.58
서울,11,광진구,11215,광양중학교,,서울특별시 광진구 자양2동,UzAxMDAwMjE0Ng==,,,0,0,4,0,135,79,56,0,0.0
서울,11,광진구,11215,광진중학교,,서울특별시 광진구 자양2동,UzAxMDAwMjE0OA==,,,0,0,1,0,69,35,34,0,0.0
서울,11,서초구,11650,동덕여자중학교,,서울특별시 서초구 방배동,UzAxMDAwMDcxMA==,,,1,8,19,0,140,0,140,9,6.43
서울,11,서초구,11650,신동중학교,,서울특별시 서초구 잠원동,UzAxMDAwMDcyMg==,,,3,11,119,2,248,131,117,14,5.65
서울,11,서초구,11650,신반포중학교,,서울특별시 서초구 반포2동,UzAxMDAwMDcyMw==,,,10,5,105,0,301,261,40,15,4.98
서울,11,서초구,11650,세화여자중학교,,서울특별시 서초구 반포본동,UzAxMDAwMDcxOA==,,,2,8,124,0,230,0,230,10,4.35
서울,11,서초구,11650,서운중학교,,서울특별시 서초구 서초2동,UzAxMDAwMDcxNQ==,,,6,7,47,9,356,184,172,13,3.65
서울,11,서초구,11650,방배중학교,,서울특별시 서초구 반포동,UzAxMDAwMDcxMg==,,,3,2,18,2,173,143,30,5,2.89
서울,11,서초구,11650,원촌중학교,,서울특별시 서초구 반포동,UzAxMDAwMDczMA==,,,4,6,115,11,376,206,170,10,2.66
서울,11,서초구,11650,경원중학교,,서울특별시 서초구 잠원동,UzAxMDAwMDcwMA==,,,5,4,149,5,340,187,153,9,2.65
서울,11,서초구,11650,내곡중학교,,서울특별시 서초구 청계산로7길 9-20,UzAxMDAwNjMzNA==,,,0,3,14,0,116,53,63,3,2.59
서울,11,서초구,11650,서초중학교,,서울특별시 서초구 서초3동,UzAxMDAwMDcxNw==,,,2,3,15,1,222,140,82,5,2.25
서울,11,서초구,11650,서일중학교,,서울특별시 서초구 서운로21길 2,UzAxMDAwMDcxNg==,,,2,5,79,11,313,154,159,7,2.24
서울,11,서초구,11650,서문여자중학교,,서울특별시 서초구 방배4동,UzAxMDAwMDcxNA==,,,0,4,33,3,204,0,204,4,1.96
서울,11,서초구,11650,언남중학교,,서울특별시 서초구 양재2동,UzAxMDAwMDcyNQ==,,,0,1,5,0,121,66,55,1,0.83
서울,11,서초구,11650,이수중학교,,서울특별시 서초구 방배2동,UzAxMDAwMDczMg==,,,0,1,7,0,140,140,0,1,0.71
서울,11,서초구,11650,영동중학교,,서울특별시 서초구 우면동,UzAxMDAwMDcyOQ==,,,1,1,14,5,294,158,136,2,0.68
서울,11,서대문구,11410,동명여자중학교,,서울 서대문구 천연동,UzAxMDAwMTkzMA==,,,0,7,5,0,75,0,75,7,9.33
