광역,시도코드,시군구,area,학교급,학교명,설립구분,주소,mcode,원점수_2021,원점수_2022,원점수_2023,원점수_2024,원점수_2025,원점수_5년평균,원점수_3년추세,원점수_전년대비,환산_2021,환산_2022,환산_2023,환산_2024,환산_2025,환산_5년평균,환산_3년추세,환산_전년대비,_2025_국어A,_2025_수학A,_2025_영어A,_2025_수학최하위,_5년최고연도
서울,11,강남구,11680,중,단국대학교사범대학부속중학교,사립,서울특별시 강남구 대치동,UzAxMDAwMDcwNA==,43.0,30.6,47.2,43.8,62.0,45.3,반등,18.2,42.8,30.5,46.9,44.3,61.5,45.2,반등,17.3,74.6,72.1,67.0,10.5,2025
서울,11,강남구,11680,중,봉은중학교,공립,서울특별시 강남구 삼성동,UzAxMDAwMDcxMw==,39.3,29.9,37.7,44.4,54.3,41.1,연속↑,9.8,38.1,29.2,37.6,43.0,53.9,40.4,연속↑,10.9,60.2,66.3,75.5,21.5,2025
서울,11,강남구,11680,중,진선여자중학교,사립,서울특별시 강남구 역삼2동,UzAxMDAwMDczNA==,48.9,35.7,63.1,63.0,56.1,53.3,연속↓,6.9,47.6,35.4,61.6,61.1,53.8,51.9,연속↓,7.3,66.7,55.5,67.0,11.2,2023
서울,11,강남구,11680,중,대청중학교,공립,서울특별시 강남구 대치1동,UzAxMDAwMDcwNw==,58.8,36.6,53.3,44.9,54.5,49.6,반등,9.6,57.7,35.8,50.8,43.0,52.9,48.0,반등,9.8,63.7,53.7,70.8,12.9,2021
서울,11,강남구,11680,중,휘문중학교,사립,서울특별시 강남구 대치동,UzAxMDAwMDczNg==,52.1,34.4,48.9,51.7,51.5,47.7,하락,0.2,51.4,34.5,48.1,50.7,49.2,46.8,하락,1.5,79.1,39.9,59.3,22.1,2021
서울,11,강남구,11680,중,언주중학교,공립,서울특별시 강남구 삼성2동,UzAxMDAwMDcyNw==,34.1,35.1,44.5,47.5,50.0,42.2,연속↑,2.6,33.3,34.1,42.7,46.1,48.8,41.0,연속↑,2.7,58.1,52.0,74.0,21.6,2025
서울,11,강남구,11680,중,도곡중학교,공립,서울특별시 강남구 도곡1동,UzAxMDAwMDcwOQ==,40.4,32.5,54.2,50.6,49.4,45.4,연속↓,1.2,39.4,31.5,53.2,49.9,48.2,44.4,연속↓,1.7,61.5,52.1,62.6,16.9,2023
서울,11,강남구,11680,중,대치중학교,공립,서울특별시 강남구 도곡동,UzAxMDAwMDcwOA==,35.5,29.6,40.9,41.7,46.6,38.8,연속↑,5.0,34.6,29.5,41.0,42.5,47.0,38.9,연속↑,4.5,44.9,60.3,57.5,24.2,2025
서울,11,강남구,11680,중,은성중학교,사립,서울특별시 강남구 도곡동,UzAxMDAwMDczMQ==,23.2,31.3,31.8,34.3,47.0,33.5,연속↑,12.7,23.0,31.0,31.3,34.3,46.4,33.2,연속↑,12.2,68.5,56.0,55.6,26.6,2025
서울,11,강남구,11680,중,대왕중학교,공립,서울특별시 강남구 수서동,UzAxMDAwMDcwNg==,52.8,34.9,48.2,43.3,45.7,45.0,반등,2.4,53.0,34.3,48.4,43.8,46.3,45.2,반등,2.5,55.3,62.5,44.7,11.3,2021
서울,11,강남구,11680,중,숙명여자중학교,사립,서울특별시 강남구 도곡동,UzAxMDAwMDcyMA==,46.4,38.9,58.5,55.8,46.1,49.1,연속↓,9.8,47.4,38.1,58.4,56.1,46.0,49.2,연속↓,10.1,54.7,65.7,61.7,15.3,2023
서울,11,강남구,11680,중,구룡중학교,공립,서울 강남구 개포1동,UzAxMDAwMDcwMQ==,37.5,28.2,37.2,44.2,46.1,38.6,연속↑,1.9,37.0,27.9,36.7,43.5,45.7,38.2,연속↑,2.3,63.5,54.3,54.2,12.8,2025
서울,11,강남구,11680,중,대명중학교,공립,서울특별시 강남구 대치2동,UzAxMDAwMDcwNQ==,51.1,35.3,48.0,44.0,45.9,44.9,반등,2.0,49.8,35.0,46.8,42.1,44.9,43.7,반등,2.8,63.9,47.9,63.3,22.6,2021
서울,11,강남구,11680,중,신사중학교,공립,서울특별시 강남구 압구정동,UzAxMDAwMDcyNA==,34.3,30.7,37.6,39.7,43.6,37.2,연속↑,3.9,34.7,30.5,37.0,39.6,44.2,37.2,연속↑,4.6,60.4,65.9,49.0,19.4,2025
서울,11,강남구,11680,중,개포중학교,공립,서울특별시 강남구 개포1동,UzAxMDAwMDY5OQ==,,,,47.3,45.0,46.2,하락,2.3,,,,47.3,44.0,45.6,하락,3.2,57.1,53.7,63.1,16.0,2024
서울,11,강남구,11680,중,역삼중학교,공립,서울 강남구 역삼2동,UzAxMDAwMDcyOA==,48.6,40.9,48.2,47.2,44.2,45.8,연속↓,3.0,48.7,40.3,48.3,47.2,43.6,45.6,연속↓,3.7,48.5,58.1,60.6,20.7,2021
서울,11,강남구,11680,중,압구정중학교,공립,서울특별시 강남구 압구정동,UzAxMDAwMDcwMg==,48.0,37.2,48.4,45.5,43.0,44.4,연속↓,2.5,47.1,36.4,47.1,44.7,42.0,43.4,연속↓,2.7,56.6,45.3,59.7,22.5,2023
서울,11,강남구,11680,중,개원중학교,공립,서울 강남구 개포3동,UzAxMDAwMDY5OA==,52.3,30.7,45.3,40.2,40.6,41.8,반등,0.5,52.2,30.9,44.6,39.5,40.9,41.6,반등,1.4,42.5,49.7,50.7,20.1,2021
서울,11,강남구,11680,중,청담중학교,공립,서울특별시 강남구 청담1동,UzAxMDAwMDczNQ==,23.1,26.1,33.2,37.7,42.3,32.5,연속↑,4.6,22.7,25.8,32.2,36.6,40.1,31.5,연속↑,3.5,73.8,34.8,58.2,31.3,2025
서울,11,강남구,11680,중,중동중학교,사립,서울특별시 강남구 일원동,UzAxMDAwMDczMw==,36.6,33.0,40.2,39.3,38.4,37.5,연속↓,0.9,36.9,33.0,38.8,37.9,36.6,36.6,연속↓,1.3,42.0,40.8,72.2,16.1,2023
서울,11,강남구,11680,중,수서중학교,공립,서울특별시 강남구 수서동,UzAxMDAwMDcxOQ==,26.8,22.8,33.2,32.0,31.5,29.2,연속↓,0.5,26.4,22.1,33.1,31.8,31.1,28.9,연속↓,0.7,43.8,36.3,31.6,36.4,2023
서울,11,강남구,11680,중,신구중학교,공립,서울 강남구 신사동,UzAxMDAwMDcyMQ==,38.4,23.6,26.5,26.6,31.1,29.2,연속↑,4.5,37.3,22.4,25.4,26.0,31.0,28.4,연속↑,5.0,40.3,41.8,42.9,25.0,2021
