area_code,area_label,광역,시구,동,단지명,연차,aptCode,aptCode_b64,세대수,주차대수,위도,경도,계약일,면적_㎡,평형,층,동번호,거래금액_만원,회복률_pct,거래건수,직전가_만원,최저가_만원,직전대비_pct,매물수,신규매물수,학교명,학교_도보_분,학교_거리_m,시계열_가격_만원
11500,강서구,서울특별시,강서구,마곡동,마곡엠밸리7단지,13,107477,MTA3NDc3,1004,1643,37.56627547275825,126.82444947373803,26.01.21,84.95,33B,8,706,198500,113,1,175500,144000,37.8,12,1,,5,240,"95000,99500,115000,132500,127500,131000,139000,145000,148000,149000,160000,98000,154000,147000,144000,165000,165000,161000,170000,172000,183000,198500"
11500,강서구,서울특별시,강서구,마곡동,마곡엠밸리6단지,13,107506,MTA3NTA2,1466,1834,37.565112920882996,126.81996610775253,26.02.26,84.88,34D,7,,175000,106,5,165000,108000,62.0,,,,3,144,"88500,88000,90000,98000,86500,97000,110500,95000,119000,104800,105700,112000,106000,114000,115000,114000,115000,100000,119400,124500,123000,127000,124500,126000,128000,128000,130000,122500,141500,140000,137000,115500,122000,131000,130000,139000,145000,130000,142000,144500,149000,147000,146000,160000,160000,159000,163750,167000,165000,168000,167000,168000,170000,175000"
11500,강서구,서울특별시,강서구,염창동,e편한세상염창,8,115965,MTE1OTY1,499,614,37.5483409858201,126.87019253410169,26.03.23,84.9529,32A,18,,175000,115,3,152000,110000,59.0,4,0,,5,289,"105000,136000,134900,145000,135000,110500,110000,113000,123000,126600,129000,129500,124000,120700,127000,129500,141000,142000,141500,145000,145000,147800,148000,150000,142000,156800,175000"
11500,강서구,서울특별시,강서구,마곡동,마곡엠벨리(14단지),13,107504,MTA3NTA0,1270,1449,37.55711653332741,126.82583554183843,26.01.14,84.86,34B,11,1403,172500,111,3,155000,123000,40.2,,,,4,229,"85000,90000,113000,109900,107500,136000,139500,125500,145000,160000,172500"
11500,강서구,서울특별시,강서구,마곡동,마곡엠밸리12단지,11,112281,MTEyMjgx,363,421,37.559858715047945,126.82290519588447,26.01.24,84.88,36D,13,,170000,101,1,167000,119700,42.0,1,0,,3,183,"100000,104000,106700,103000,108000,114800,123000,129000,129800,167000,128000,135950,135500,143500,170000"
11500,강서구,서울특별시,강서구,마곡동,마곡힐스테이트,10,108359,MTA4MzU5,603,749,37.56324937757998,126.81874408874508,26.02.06,84.89,34C,11,104,170000,112,3,150500,116000,46.5,24,0,,5,311,"105000,113000,118500,109000,115000,118700,115000,122000,118000,123000,119500,123000,130000,130000,149500,150000,130000,140000,145000,143000,147000,133000,149700,148500,150000,170000,165000"
11500,강서구,서울특별시,강서구,마곡동,마곡13단지힐스테이트마스터,10,109799,MTA5Nzk5,1194,1661,37.55872990746329,126.81868452858293,26.02.10,84.9881,34,7,,169500,100,5,168000,109000,55.5,24,0,,12,677,"95000,115000,122000,99000,104000,110000,97500,104000,102500,102500,101500,103250,105000,104000,105000,114000,108500,112000,114000,118000,114500,104500,115000,106000,114500,120000,110000,124000,127000,130000,133000,130900,130000,129500,140500,135000,136000,98200,145000,140000,156000,155000,149000,142000,110000,118500,119000,119500,120000,115000,127000,128000,121500,137800,136000,139500,139500,139500,138000,143000,139000,145400,145000,150000,141000,132000,146000,132000,147500,132000,146500,144000,149000,152000,141500,146500,135000,149000,149500,166000,161000,165200,169500,171000,170000,162500"
11500,강서구,서울특별시,강서구,마곡동,마곡엠벨리(15단지),13,107505,MTA3NTA1,1171,1311,37.55668495593401,126.82726911662874,26.02.14,84.88,35D,9,1513,169000,112,1,150000,112000,50.8,9,0,,3,192,"81000,88000,97000,94000,108500,90000,85000,105000,100000,108400,108000,110600,109800,118500,123000,119000,121000,150000,135000,137000,125000,149000,135000,135000,112000,151000,142000,149500,150000,169000"
11500,강서구,서울특별시,강서구,마곡동,마곡엠밸리8단지,11,112211,MTEyMjEx,531,625,37.564020052178584,126.82026200749445,26.03.05,84.89,35C,9,,168000,119,3,141000,115000,46.0,,,,6,395,"90000,108000,90000,141000,140000,135000,138500,141000,135500,168000"
11500,강서구,서울특별시,강서구,내발산동,우장산힐스테이트,22,11337,MTEzMzc=,2198,2780,37.55658669078233,126.83798395446898,26.03.16,84.98,32,10,,165000,110,9,149000,107000,54.2,25,4,,3,131,"84000,73600,77500,80500,86000,82000,82000,88000,84500,84000,85000,84500,79500,89900,89700,86000,86000,85000,89800,89800,89500,89550,81750,89900,90000,79000,87000,89900,94500,89600,84300,100000,98000,99900,104000,101000,98800,100000,95000,100000,98500,92000,97500,94500,95000,95500,99400,93000,98500,93400,99500,96200,96000,95000,91000,95000,105800,99500,99500,98000,100000,99500,105000,104400,102000,97000,95000,97000,96000,90000,97000,98000,101500,103800,105000,95000,107000,112000,102000,96000,99800,99500,109000,95000,96500,108000,100500,108000,110500,104000,103500,110000,109000,110000,110000,109000,112000,109000,110000,109000,114500,108000,115000,114500,104500,95000,111500,115000,96000,120500,125000,115000,119000,95000,116000,124500,131000,132000,134000,118000,136750,129000,134000,133500,126000,125800,138800,140000,130000,139500,143000,143500,149000,140000,138000,138000,136500,107000,111000,107500,112000,110000,110000,125000,100500,116000,112000,124000,125000,119700,124000,123000,118500,122000,123500,95000,120000,120000,120000,124500,124000,123000,124000,131000,110000,125000,126000,129500,124500,131500,119000,124000,131500,122000,124000,135000,125000,124500,129000,139000,136000,135000,130000,135000,119000,137000,124500,135000,98600,132700,136500,138000,132000,126500,134000,137000,142000,139500,140000,134500,131000,142000,147000,136000,146000,139700,138500,145000,154000,154000,144000,154000,142000,154000,150000,160000,160000,159000,159000,158000,160000,148000,142000,157000,154500,162000,160000,148000,164000,165000,156000,158000,149500,161000,149500,164700"
11500,강서구,서울특별시,강서구,가양동,강서한강자이,14,103293,MTAzMjkz,790,1213,37.566120846384244,126.84952021123438,26.02.14,84.9903,34,19,,160000,117,3,136000,110500,44.7,,,,9,576,"78000,67700,79500,79800,83900,85000,82000,86500,83500,90000,87500,87000,87000,94600,76800,90000,87000,83000,87500,90000,100000,99700,99500,112000,120000,115000,120000,123500,114500,120000,130000,131500,131300,136000,116800,121000,119000,119000,113300,119000,119000,116500,123000,120000,133000,119800,126000,134000,133500,145000,137000,147000,150000,150000,150000,150000,150000,157000,160000,160000,153300"
11500,강서구,서울특별시,강서구,마곡동,마곡엠밸리5단지,13,107475,MTA3NDc1,439,644,37.5662310178581,126.81783302056392,26.02.02,84.92,33C,9,502,160000,116,2,137500,131500,21.6,,,,2,100,"85000,85000,99000,95000,99000,99900,114000,110000,131500,142000,145000,137000,160000"
