단지번호,단지명,시구,자치구,동,위도,경도,학교수,성취_평균_avg,성취_평균_max,특목고진학_합,특목고진학_avg,사립여부_비율,시구_학교수,시구_성취_평균_avg,시구_성취_평균_max,시구_특목고진학_avg,시구_특목고진학_max,시_학교수,시_성취_평균_avg,시_성취_평균_max,시_특목고진학_avg,시_특목고진학_max,학군_매칭,학군_성취율,학군_특목고,점수_성취율,점수_특목고,점수_학군
168097,메이플자이,서초구,,반포동,37.51158,127.013089,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
22853,반포자이,서초구,,반포동,37.507538,127.013605,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
142155,래미안원베일리,서초구,,반포동,37.5068,126.998185,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
101887,반포리체,서초구,,반포동,37.503762,127.013485,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
107613,아크로리버파크,동작구,,동작동,37.506089,126.993312,1.0,77.4,77.4,3.0,3.0,0.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,77.4,3.0,69.60000000000002,15.0,53.22000000000001
125080,디에이치반포라클라스,서초구,,반포동,37.500974,127.014697,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
112008,반포래미안아이파크,서초구,,반포동,37.501879,127.013411,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
128008,반포르엘,서초구,,반포동,37.507594,127.002832,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
23759,래미안퍼스티지,서초구,,반포동,37.503005,126.999724,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
118947,반포센트럴자이,서초구,,반포동,37.507257,127.00161,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
111687,반포써밋,서초구,,반포동,37.50156,127.017953,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
108228,래미안신반포팰리스,서초구,,반포동,37.515289,127.012151,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
3009,동아,서초구,,반포동,37.509144,127.010552,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
113292,아크로리버하임,동작구,,노량진동,37.510134,126.961291,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
867,한가람,동작구,,본동,37.521885,126.972645,1.0,75.2,75.2,3.0,3.0,1.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,75.2,3.0,60.80000000000001,15.0,47.06
109119,서초푸르지오써밋,서초구,,반포동,37.501348,127.021151,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
111703,신반포자이,서초구,,반포동,37.510166,127.008408,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
121971,디에이치자이개포,강남구,,개포동,37.491183,127.075206,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
124311,래미안리더스원,서초구,,서초동,37.490778,127.028132,,,,,,,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,시구,76.86875,7.2,67.47500000000002,36.0,58.03250000000001
180280,래미안대치팰리스,강남구,,개포동,37.494837,127.059641,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
111665,래미안서초에스티지S,서초구,,서초동,37.492859,127.027121,,,,,,,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,시구,76.86875,7.2,67.47500000000002,36.0,58.03250000000001
178737,래미안원페를라,동작구,,동작동,37.490294,126.989356,1.0,77.4,77.4,3.0,3.0,0.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,77.4,3.0,69.60000000000002,15.0,53.22000000000001
11698,도곡렉슬,강남구,,개포동,37.493869,127.050945,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
113295,아크로리버뷰신반포,서초구,,반포동,37.514868,127.007489,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
22491,힐스테이트상도센트럴파크,동작구,,상도1동,37.49583,126.95115,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
100512,반포힐스테이트,서초구,,반포동,37.501541,126.996878,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
127071,과천푸르지오써밋,과천시,,갈현동,37.431412,126.992907,,,,,,,3.0,78.93333333333334,82.8,36.66666666666666,63.0,3,78.93333333333334,82.8,36.66666666666666,63.0,시구,78.93333333333334,36.66666666666666,75.73333333333335,100.0,83.01333333333335
133962,상도역롯데캐슬파크엘,동작구,,노량진동,37.500753,126.947169,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
