단지번호,가까운역_이름,가까운역_노선,가까운역_km,가까운역_도보분,가까운역_강남까지_km
14,가양,9,0.27,3.2,16.83
1305,양천향교,9,0.529,6.3,18.13
10,가양,9,0.535,6.4,16.83
1347,가양,9,0.508,6.1,16.83
1348,증미,9,0.284,3.4,16.18
13,발산,5,0.666,8.0,18.06
11,양천향교,9,0.345,4.1,18.13
1346,가양,9,0.449,5.4,16.83
11337,발산,5,0.376,4.5,18.06
12,발산,5,0.454,5.4,18.06
103293,양천향교,9,0.689,8.3,18.13
6,가양,9,0.256,3.1,16.83
1020,양천향교,9,0.962,11.5,18.13
107505,마곡,5,0.465,5.6,19.19
1016,등촌,9,0.435,5.2,15.45
1017,증미,9,0.309,3.7,16.18
1012,가양,9,0.23,2.8,16.83
1351,양천향교,9,0.49,5.9,18.13
1350,가양,9,0.107,1.3,16.83
131669,가양,9,2.213,26.6,16.83
3331,가양,9,0.851,10.2,16.83
15,가양,9,0.663,8.0,16.83
25922,마곡,5,0.65,7.8,19.19
4,가양,9,0.685,8.2,16.83
7,양천향교,9,0.512,6.1,18.13
132472,양천향교,9,2.157,25.9,18.13
137417,화전,K,2.311,27.7,18.27
25967,발산,5,0.794,9.5,18.06
22,방화,5,0.536,6.4,20.91
31,방화,5,0.206,2.5,20.91
23,방화,5,0.621,7.5,20.91
24,방화,5,0.221,2.7,20.91
25,방화,5,0.24,2.9,20.91
8959,방화,5,0.37,4.4,20.91
905,개화산,5,0.218,2.6,21.16
26123,마곡,5,1.019,12.2,19.19
26124,우장산,5,0.885,10.6,17.79
108359,신방화,9,0.388,4.7,20.1
109799,송정,5,0.624,7.5,20.24
9716,신방화,9,0.533,6.4,20.1
24833,신방화,9,0.5,6.0,20.1
112280,마곡,5,0.334,4.0,19.19
112211,신방화,9,0.462,5.5,20.1
131224,마곡,5,0.553,6.6,19.19
107960,신방화,9,0.375,4.5,20.1
26128,우장산,5,1.23,14.8,17.79
33,신방화,9,0.415,5.0,20.1
107506,신방화,9,0.3,3.6,20.1
9410,신방화,9,0.58,7.0,20.1
107504,마곡,5,0.408,4.9,19.19
107961,신방화,9,0.253,3.0,20.1
107475,신방화,9,0.153,1.8,20.1
107483,마곡나루,"9, A",0.363,4.4,19.24
107477,마곡나루,"9, A",0.427,5.1,19.24
112279,마곡,5,0.479,5.7,19.19
25968,마곡,5,0.835,10.0,19.19
25969,우장산,5,0.948,11.4,17.79
1038,우장산,5,0.37,4.4,17.79
22555,우장산,5,0.254,3.0,17.79
131485,화곡,5,0.397,4.8,17.21
103305,우장산,5,0.334,4.0,17.79
3330,우장산,5,0.631,7.6,17.79
11565,염창,9,0.187,2.2,14.53
870,염창,9,0.402,4.8,14.53
36,등촌,9,0.486,5.8,15.45
1034,염창,9,0.237,2.8,14.53
869,등촌,9,0.786,9.4,15.45
8378,등촌,9,0.971,11.7,15.45
37,등촌,9,0.596,7.2,15.45
113008,등촌,9,0.573,6.9,15.45
115965,염창,9,0.419,5.0,14.53
1035,염창,9,0.704,8.4,14.53
3771,염창,9,0.632,7.6,14.53
9364,증미,9,0.537,6.4,16.18
34,등촌,9,0.387,4.6,15.45
9161,염창,9,0.481,5.8,14.53
38,등촌,9,0.799,9.6,15.45
10307,등촌,9,0.467,5.6,15.45
13859,등촌,9,0.89,10.7,15.45
3433,염창,9,0.619,7.4,14.53
661,신목동,9,0.32,3.8,13.75
2579,부천종합운동장,7,2.605,31.3,20.34
12870,부천종합운동장,7,2.672,32.1,20.34
22208,부천종합운동장,7,3.155,37.9,20.34
102634,까치울,7,2.597,31.2,19.1
22209,춘의,7,3.08,37.0,21.23
2646,부천종합운동장,7,2.786,33.4,20.34
22215,부천종합운동장,7,3.012,36.1,20.34
44,까치산,"2, 5",0.515,6.2,16.36
42,까치산,"2, 5",0.862,10.3,16.36
3801,선유도,9,0.689,8.3,12.66
121758,영등포구청,"2, 5",0.841,10.1,11.96
729,오목교,5,0.646,7.8,13.76
735,선유도,9,0.256,3.1,12.66
1216,선유도,9,0.746,9.0,12.66
3447,오목교,5,0.44,5.3,13.76
688,영등포구청,"2, 5",0.225,2.7,11.96
731,선유도,9,0.427,5.1,12.66
9797,목동,5,0.625,7.5,14.71
11926,목동,5,0.939,11.3,14.71
662,까치산,"2, 5",1.775,21.3,16.36
3786,신정네거리,2,1.707,20.5,15.61
1673,까치산,"2, 5",1.927,23.1,16.36
117329,신정네거리,2,0.91,10.9,15.61
3777,신정네거리,2,0.631,7.6,15.61
130826,신정네거리,2,0.422,5.1,15.61
107728,신정네거리,2,0.496,6.0,15.61
121979,신정네거리,2,0.192,2.3,15.61
102874,까치울,7,1.702,20.4,19.1
102875,까치울,7,2.006,24.1,19.1
104360,신정네거리,2,0.645,7.7,15.61
9897,신정네거리,2,1.431,17.2,15.61
711,도림천,2,0.67,8.0,12.92
672,신정네거리,2,0.702,8.4,15.61
3784,오류동,1,1.525,18.3,16.13
3444,신정네거리,2,1.029,12.3,15.61
10312,양천구청,2,0.804,9.6,14.37
3440,양천구청,2,0.332,4.0,14.37
108438,신정네거리,2,0.289,3.5,15.61
14020,신정네거리,2,1.327,15.9,15.61
3354,구로,1,0.326,3.9,12.83
100495,양천구청,2,1.033,12.4,14.37
118,개봉,1,0.92,11.0,14.9
12021,양천구청,2,0.607,7.3,14.37
