단지번호,자치구_거래활성도,자치구_가격모멘텀,자치구_신축비율,자치구_수급점수
1305,1.218,1.387,0.056,66.5
14,1.218,1.387,0.056,66.5
10,1.218,1.387,0.056,66.5
1347,1.218,1.387,0.056,66.5
1348,1.218,1.387,0.056,66.5
13,1.218,1.387,0.056,66.5
11,1.218,1.387,0.056,66.5
1346,1.218,1.387,0.056,66.5
11337,1.218,1.387,0.056,66.5
12,1.218,1.387,0.056,66.5
1020,1.218,1.387,0.056,66.5
6,1.218,1.387,0.056,66.5
103293,1.218,1.387,0.056,66.5
107505,1.218,1.387,0.056,66.5
1017,1.218,1.387,0.056,66.5
1016,1.218,1.387,0.056,66.5
1012,1.218,1.387,0.056,66.5
131669,1.218,1.387,0.056,66.5
3331,1.218,1.387,0.056,66.5
1350,1.218,1.387,0.056,66.5
1351,1.218,1.387,0.056,66.5
15,1.218,1.387,0.056,66.5
25922,1.218,1.387,0.056,66.5
4,1.218,1.387,0.056,66.5
7,1.218,1.387,0.056,66.5
25967,1.218,1.387,0.056,66.5
137417,1.218,1.387,0.056,66.5
132472,1.218,1.387,0.056,66.5
22,1.218,1.387,0.056,66.5
23,1.218,1.387,0.056,66.5
31,1.218,1.387,0.056,66.5
24,1.218,1.387,0.056,66.5
25,1.218,1.387,0.056,66.5
8959,1.218,1.387,0.056,66.5
905,1.218,1.387,0.056,66.5
26123,1.218,1.387,0.056,66.5
26124,1.218,1.387,0.056,66.5
109799,1.218,1.387,0.056,66.5
108359,1.218,1.387,0.056,66.5
24833,1.218,1.387,0.056,66.5
9716,1.218,1.387,0.056,66.5
112211,1.218,1.387,0.056,66.5
131224,1.218,1.387,0.056,66.5
107960,1.218,1.387,0.056,66.5
26128,1.218,1.387,0.056,66.5
33,1.218,1.387,0.056,66.5
107506,1.218,1.387,0.056,66.5
9410,1.218,1.387,0.056,66.5
112280,1.218,1.387,0.056,66.5
107961,1.218,1.387,0.056,66.5
107475,1.218,1.387,0.056,66.5
107483,1.218,1.387,0.056,66.5
107504,1.218,1.387,0.056,66.5
107477,1.218,1.387,0.056,66.5
112279,1.218,1.387,0.056,66.5
25968,1.218,1.387,0.056,66.5
25969,1.218,1.387,0.056,66.5
1038,1.218,1.387,0.056,66.5
22555,1.218,1.387,0.056,66.5
131485,1.218,1.387,0.056,66.5
103305,1.218,1.387,0.056,66.5
3330,1.218,1.387,0.056,66.5
11565,1.218,1.387,0.056,66.5
870,1.218,1.387,0.056,66.5
36,1.218,1.387,0.056,66.5
8378,1.218,1.387,0.056,66.5
1034,1.218,1.387,0.056,66.5
869,1.218,1.387,0.056,66.5
37,1.218,1.387,0.056,66.5
113008,1.218,1.387,0.056,66.5
115965,1.218,1.387,0.056,66.5
1035,1.218,1.387,0.056,66.5
3771,1.218,1.387,0.056,66.5
9364,1.218,1.387,0.056,66.5
34,1.218,1.387,0.056,66.5
9161,1.218,1.387,0.056,66.5
38,1.218,1.387,0.056,66.5
13859,1.218,1.387,0.056,66.5
10307,1.218,1.387,0.056,66.5
3433,1.218,1.387,0.056,66.5
661,1.218,1.387,0.056,66.5
2579,1.218,1.387,0.056,66.5
12870,1.218,1.387,0.056,66.5
22208,1.218,1.387,0.056,66.5
102634,1.218,1.387,0.056,66.5
2646,1.218,1.387,0.056,66.5
22209,1.218,1.387,0.056,66.5
22215,1.218,1.387,0.056,66.5
44,1.218,1.387,0.056,66.5
42,1.218,1.387,0.056,66.5
3801,1.048,1.492,0.085,52.0
121758,1.048,1.492,0.085,52.0
1216,1.048,1.492,0.085,52.0
735,1.048,1.492,0.085,52.0
3447,1.048,1.492,0.085,52.0
729,1.048,1.492,0.085,52.0
688,1.048,1.492,0.085,52.0
731,1.048,1.492,0.085,52.0
9797,1.048,1.492,0.085,52.0
11926,1.048,1.492,0.085,52.0
662,1.048,1.492,0.085,52.0
3786,1.048,1.492,0.085,52.0
1673,1.048,1.492,0.085,52.0
117329,1.048,1.492,0.085,52.0
3777,1.048,1.492,0.085,52.0
130826,1.048,1.492,0.085,52.0
107728,1.048,1.492,0.085,52.0
121979,1.048,1.492,0.085,52.0
102874,1.048,1.492,0.085,52.0
102875,1.048,1.492,0.085,52.0
104360,1.048,1.492,0.085,52.0
9897,1.048,1.492,0.085,52.0
711,1.048,1.492,0.085,52.0
672,1.048,1.492,0.085,52.0
3784,1.048,1.492,0.085,52.0
118,1.048,1.492,0.085,52.0
3444,1.048,1.492,0.085,52.0
10312,1.048,1.492,0.085,52.0
3440,1.048,1.492,0.085,52.0
14020,1.048,1.492,0.085,52.0
108438,1.048,1.492,0.085,52.0
100495,1.048,1.492,0.085,52.0
3354,1.048,1.492,0.085,52.0
12021,1.048,1.492,0.085,52.0
1068,1.048,1.492,0.085,52.0
1074,1.048,1.492,0.085,52.0
115706,1.048,1.492,0.085,52.0
121,1.048,1.492,0.085,52.0
441,1.048,1.492,0.085,52.0
8714,1.048,1.492,0.085,52.0
910,1.048,1.492,0.085,52.0
675,1.048,1.492,0.085,52.0
3443,1.048,1.492,0.085,52.0
670,1.048,1.492,0.085,52.0
8742,1.048,1.492,0.085,52.0
8919,1.048,1.492,0.085,52.0
25853,1.048,1.492,0.085,52.0
10169,1.311,1.439,0.1,76.7
121987,1.311,1.439,0.1,76.7
1210,1.311,1.439,0.1,76.7
687,1.311,1.439,0.1,76.7
684,1.311,1.439,0.1,76.7
677,1.311,1.439,0.1,76.7
967,1.311,1.439,0.1,76.7
691,1.311,1.439,0.1,76.7
8348,1.311,1.439,0.1,76.7
109205,1.311,1.439,0.1,76.7
2982,1.311,1.439,0.1,76.7
676,1.311,1.439,0.1,76.7
104791,1.311,1.439,0.1,76.7
11116,1.311,1.439,0.1,76.7
1209,1.311,1.439,0.1,76.7
2985,1.311,1.439,0.1,76.7
2981,1.311,1.439,0.1,76.7
737,1.311,1.439,0.1,76.7
3449,1.311,1.439,0.1,76.7
703,1.311,1.439,0.1,76.7
3210,1.311,1.439,0.1,76.7
3209,1.311,1.439,0.1,76.7
700,1.311,1.439,0.1,76.7
1211,1.311,1.439,0.1,76.7
3457,1.311,1.439,0.1,76.7
128302,1.311,1.439,0.1,76.7
1221,1.311,1.439,0.1,76.7
104960,1.311,1.439,0.1,76.7
707,1.311,1.439,0.1,76.7
888,1.311,1.439,0.1,76.7
3356,1.311,1.439,0.1,76.7
3450,1.311,1.439,0.1,76.7
3452,1.311,1.439,0.1,76.7
698,1.311,1.439,0.1,76.7
