단지번호,자치구_전세가율_84㎡,자치구_전세가율_전체,자치구_월세비중_pct,자치구_전세거래수_12M,자치구_매매거래수_12M
1305,53.8,52.6,46.8,7246,4856
14,53.8,52.6,46.8,7246,4856
10,53.8,52.6,46.8,7246,4856
1347,53.8,52.6,46.8,7246,4856
1348,53.8,52.6,46.8,7246,4856
13,53.8,52.6,46.8,7246,4856
11,53.8,52.6,46.8,7246,4856
1346,53.8,52.6,46.8,7246,4856
11337,53.8,52.6,46.8,7246,4856
12,53.8,52.6,46.8,7246,4856
1020,53.8,52.6,46.8,7246,4856
6,53.8,52.6,46.8,7246,4856
103293,53.8,52.6,46.8,7246,4856
107505,53.8,52.6,46.8,7246,4856
1017,53.8,52.6,46.8,7246,4856
1016,53.8,52.6,46.8,7246,4856
1012,53.8,52.6,46.8,7246,4856
131669,53.8,52.6,46.8,7246,4856
3331,53.8,52.6,46.8,7246,4856
1350,53.8,52.6,46.8,7246,4856
1351,53.8,52.6,46.8,7246,4856
15,53.8,52.6,46.8,7246,4856
25922,53.8,52.6,46.8,7246,4856
4,53.8,52.6,46.8,7246,4856
7,53.8,52.6,46.8,7246,4856
25967,53.8,52.6,46.8,7246,4856
137417,53.8,52.6,46.8,7246,4856
132472,53.8,52.6,46.8,7246,4856
22,53.8,52.6,46.8,7246,4856
23,53.8,52.6,46.8,7246,4856
31,53.8,52.6,46.8,7246,4856
24,53.8,52.6,46.8,7246,4856
25,53.8,52.6,46.8,7246,4856
8959,53.8,52.6,46.8,7246,4856
905,53.8,52.6,46.8,7246,4856
26123,53.8,52.6,46.8,7246,4856
26124,53.8,52.6,46.8,7246,4856
109799,53.8,52.6,46.8,7246,4856
108359,53.8,52.6,46.8,7246,4856
24833,53.8,52.6,46.8,7246,4856
9716,53.8,52.6,46.8,7246,4856
112211,53.8,52.6,46.8,7246,4856
131224,53.8,52.6,46.8,7246,4856
107960,53.8,52.6,46.8,7246,4856
26128,53.8,52.6,46.8,7246,4856
33,53.8,52.6,46.8,7246,4856
107506,53.8,52.6,46.8,7246,4856
9410,53.8,52.6,46.8,7246,4856
112280,53.8,52.6,46.8,7246,4856
107961,53.8,52.6,46.8,7246,4856
107475,53.8,52.6,46.8,7246,4856
107483,53.8,52.6,46.8,7246,4856
107504,53.8,52.6,46.8,7246,4856
107477,53.8,52.6,46.8,7246,4856
112279,53.8,52.6,46.8,7246,4856
25968,53.8,52.6,46.8,7246,4856
25969,53.8,52.6,46.8,7246,4856
1038,53.8,52.6,46.8,7246,4856
22555,53.8,52.6,46.8,7246,4856
131485,53.8,52.6,46.8,7246,4856
103305,53.8,52.6,46.8,7246,4856
3330,53.8,52.6,46.8,7246,4856
11565,53.8,52.6,46.8,7246,4856
870,53.8,52.6,46.8,7246,4856
36,53.8,52.6,46.8,7246,4856
8378,53.8,52.6,46.8,7246,4856
1034,53.8,52.6,46.8,7246,4856
869,53.8,52.6,46.8,7246,4856
37,53.8,52.6,46.8,7246,4856
113008,53.8,52.6,46.8,7246,4856
115965,53.8,52.6,46.8,7246,4856
1035,53.8,52.6,46.8,7246,4856
3771,53.8,52.6,46.8,7246,4856
9364,53.8,52.6,46.8,7246,4856
34,53.8,52.6,46.8,7246,4856
9161,53.8,52.6,46.8,7246,4856
38,53.8,52.6,46.8,7246,4856
13859,53.8,52.6,46.8,7246,4856
10307,53.8,52.6,46.8,7246,4856
3433,53.8,52.6,46.8,7246,4856
661,53.8,52.6,46.8,7246,4856
2579,53.8,52.6,46.8,7246,4856
12870,53.8,52.6,46.8,7246,4856
22208,53.8,52.6,46.8,7246,4856
102634,53.8,52.6,46.8,7246,4856
