단지번호,단지명,동,시구,매칭_방식,전고점_만원,전고점_거래일,전저점_만원,전저점_거래일,직전거래_만원,직전거래_거래일,회복률_pct,최근6개월_거래수,매칭_거래수
483,대치2단지,개포동,강남구,none,,,,,,,,,
419,대청,개포동,강남구,none,,,,,,,,,
128527,개포자이프레지던스,개포동,강남구,exact,335000.0,2025-11-01,190000.0,2023-07-25,285000.0,2026-04-24,85.1,11.0,37.0
134062,디에이치퍼스티어아이파크,개포동,강남구,exact,270000.0,2025-02-22,140000.0,2025-01-16,165000.0,2026-02-05,61.1,2.0,6.0
119219,개포래미안포레스트,개포동,강남구,exact,325000.0,2025-12-30,212000.0,2023-04-24,324000.0,2026-01-31,99.7,3.0,35.0
112228,래미안블레스티지,개포동,강남구,exact,460000.0,2025-05-10,123000.0,2019-08-28,340000.0,2026-04-25,73.9,16.0,371.0
11698,도곡렉슬,개포동,강남구,exact,400000.0,2025-11-08,110000.0,2016-07-08,365000.0,2026-04-23,91.2,7.0,398.0
121971,디에이치자이개포,개포동,강남구,exact,390000.0,2025-11-03,150000.0,2022-08-25,375000.0,2026-01-24,96.2,1.0,57.0
3040,도곡삼성래미안,개포동,강남구,fuzzy,330000.0,2025-07-18,95000.0,2016-06-08,300000.0,2026-04-04,90.9,2.0,76.0
100559,래미안도곡카운티,개포동,강남구,exact,395000.0,2025-11-03,120000.0,2016-08-17,395000.0,2025-11-03,100.0,0.0,25.0
135,대치삼성1차,개포동,강남구,exact,347000.0,2025-10-31,92800.0,2016-05-16,347000.0,2025-10-31,100.0,0.0,64.0
19418,대치아이파크,개포동,강남구,exact,550000.0,2025-07-04,94000.0,2016-06-21,470000.0,2026-04-22,85.5,7.0,314.0
113151,디에이치아너힐즈,개포동,강남구,exact,390000.0,2025-12-16,227000.0,2020-06-10,355000.0,2026-04-06,91.0,2.0,65.0
14142,역삼푸르지오,개포동,강남구,exact,335000.0,2025-10-25,74500.0,2016-06-09,260000.0,2026-04-22,77.6,7.0,316.0
394,래미안그레이튼3차,개포동,강남구,exact,348000.0,2025-10-23,80000.0,2017-10-11,298000.0,2026-04-22,85.6,1.0,130.0
983,푸른마을,개포동,강남구,none,,,,,,,,,
13814,역삼래미안,개포동,강남구,exact,350000.0,2025-10-30,91000.0,2016-06-08,322400.0,2026-03-23,92.1,3.0,113.0
837,래미안그레이튼2차,개포동,강남구,exact,348000.0,2025-10-23,80000.0,2017-10-11,298000.0,2026-04-22,85.6,1.0,130.0
113125,래미안개포루체하임,개포동,강남구,exact,342000.0,2025-11-01,150000.0,2019-06-05,304000.0,2026-04-11,88.9,3.0,73.0
180280,래미안대치팰리스,개포동,강남구,exact,475000.0,2025-11-06,139200.0,2016-05-18,430000.0,2026-04-16,90.5,4.0,205.0
65,"개포우성1,2차",개포동,강남구,fuzzy,284000.0,2025-05-19,96000.0,2016-05-10,284000.0,2025-05-19,100.0,0.0,42.0
1321,현대2차,개포동,강남구,exact,720000.0,2025-06-27,126500.0,2016-05-15,530000.0,2026-04-19,73.6,1.0,200.0
667,우성3차,개포동,강남구,exact,105000.0,2021-03-16,74000.0,2018-03-25,105000.0,2021-03-16,100.0,0.0,2.0
874,샘터마을,개포동,강남구,exact,300000.0,2025-11-01,120000.0,2017-07-24,300000.0,2025-11-01,100.0,0.0,4.0
28,경남,개포동,강남구,exact,440000.0,2025-07-25,59500.0,2016-05-18,229000.0,2025-12-06,52.0,1.0,240.0
1317,현대1차,개포동,강남구,exact,720000.0,2025-06-27,126500.0,2016-05-15,595000.0,2025-10-24,82.6,0.0,96.0
154,"선경1,2차",개포동,강남구,none,,,,,,,,,
168097,메이플자이,논현동,강남구,none,,,,,,,,,
125080,디에이치반포라클라스,논현동,강남구,none,,,,,,,,,
111332,삼성센트럴아이파크,논현동,강남구,none,,,,,,,,,
980,삼성청담공원,논현동,강남구,fuzzy,220000.0,2025-06-26,86500.0,2016-05-14,220000.0,2025-06-26,100.0,0.0,23.0
109227,역삼자이,논현동,강남구,exact,300000.0,2025-02-23,129500.0,2017-05-26,300000.0,2025-02-25,100.0,0.0,36.0
109119,서초푸르지오써밋,논현동,강남구,none,,,,,,,,,
13813,역삼e-편한세상,논현동,강남구,none,,,,,,,,,
132385,신반포르엘,논현동,강남구,none,,,,,,,,,
114533,래미안신반포리오센트,논현동,강남구,none,,,,,,,,,
127477,래미안라클래시,논현동,강남구,exact,445000.0,2026-03-25,300000.0,2023-09-27,445000.0,2026-03-25,100.0,1.0,18.0
