광역,시구,동,학교수,성취_평균_avg,성취_평균_max,특목고진학_합,특목고진학_avg,사립여부_비율
경기,과천시,중앙동,1,76.6,76.6,44.0,44.0,0.0
경기,과천시,코오롱로,1,82.8,82.8,63.0,63.0,0.0
경기,과천시,,1,77.4,77.4,3.0,3.0,0.0
경기,광명시,소하동,1,74.9,74.9,8.0,8.0,0.0
경기,광명시,,11,72.51818181818182,78.4,44.0,4.0,0.0
경기,광주시,경안동,1,71.3,71.3,0.0,0.0,0.0
경기,광주시,곤지암읍,1,72.4,72.4,0.0,0.0,0.0
경기,광주시,도척면,1,75.4,75.4,0.0,0.0,0.0
경기,광주시,송정동,1,78.4,78.4,0.0,0.0,1.0
경기,광주시,오포읍,2,71.2,72.7,2.0,1.0,0.0
경기,광주시,장지동,1,72.8,72.8,0.0,0.0,0.0
경기,광주시,초월읍,1,75.9,75.9,0.0,0.0,0.0
경기,광주시,태성로,1,82.7,82.7,0.0,,0.0
경기,광주시,태전동,1,82.5,82.5,0.0,0.0,0.0
경기,광주시,퇴촌면,1,78.8,78.8,3.0,3.0,0.0
경기,광주시,포돌이로,1,71.0,71.0,0.0,0.0,0.0
경기,군포시,곡란로,1,72.3,72.3,2.0,2.0,0.0
경기,군포시,금정동,2,70.44999999999999,74.8,3.0,1.5,0.0
경기,군포시,당동,3,74.60000000000001,78.4,7.0,2.3333333333333335,0.0
경기,군포시,당정동,1,69.8,69.8,3.0,3.0,0.0
경기,군포시,부곡동,1,70.5,70.5,3.0,3.0,0.0
경기,군포시,산본동,4,77.125,80.5,42.0,10.5,0.0
경기,김포시,감정동,1,74.5,74.5,0.0,0.0,0.0
경기,김포시,고촌읍,3,78.63333333333333,81.1,11.0,3.6666666666666665,0.0
경기,김포시,구래동,1,79.1,79.1,4.0,4.0,0.0
경기,김포시,대곶면,1,74.2,74.2,0.0,0.0,0.0
경기,김포시,봉화로,1,74.2,74.2,3.0,3.0,0.0
경기,김포시,북변동,1,79.0,79.0,14.0,14.0,0.0
경기,김포시,사우동,1,75.9,75.9,5.0,5.0,0.0
경기,김포시,양촌읍,2,71.0,72.8,1.0,0.5,0.5
경기,김포시,운양동,1,83.5,83.5,14.0,14.0,0.0
경기,김포시,월곶면,1,66.0,66.0,0.0,0.0,1.0
경기,김포시,장기동,2,74.25,75.1,17.0,8.5,0.0
경기,김포시,청송로,1,77.9,77.9,5.0,5.0,0.0
경기,김포시,통진읍,2,70.85,72.0,0.0,0.0,0.5
경기,김포시,풍무동,2,79.1,82.1,24.0,12.0,0.0
경기,김포시,하성면,1,78.4,78.4,0.0,0.0,0.0
경기,김포시,,3,74.93333333333334,76.1,17.0,5.666666666666667,0.0
경기,부천시,성주로,1,76.0,76.0,4.0,4.0,0.0
경기,부천시,양지남로,1,79.0,79.0,8.0,8.0,0.0
경기,부천시,양지로,1,73.8,73.8,4.0,4.0,0.0
경기,부천시,조마루로,1,79.3,79.3,6.0,6.0,0.0
경기,부천시,,1,70.1,70.1,0.0,0.0,0.0
경기,부천시 소사구,괴안동,2,69.75,72.7,3.0,1.5,0.0
경기,부천시 소사구,범박동,1,78.9,78.9,5.0,5.0,0.0
경기,부천시 소사구,소사본동,1,66.1,66.1,1.0,1.0,0.0
경기,부천시 소사구,송내동,1,75.0,75.0,4.0,4.0,0.0
경기,부천시 소사구,,2,65.75,65.8,3.0,1.5,0.0
경기,부천시 오정구,고강동,1,69.6,69.6,1.0,1.0,0.0
경기,부천시 오정구,내동,1,60.6,60.6,0.0,0.0,0.0
경기,부천시 오정구,여월동,2,73.5,74.8,5.0,2.5,0.0
경기,부천시 오정구,오정동,1,72.0,72.0,1.0,1.0,0.0
경기,부천시 오정구,작동,1,67.9,67.9,0.0,0.0,0.0
경기,부천시 원미구,상동,3,75.23333333333333,76.5,11.0,3.6666666666666665,0.0
경기,부천시 원미구,소사동,1,72.6,72.6,1.0,1.0,1.0
경기,부천시 원미구,원미동,1,60.2,60.2,0.0,0.0,0.0
경기,부천시 원미구,중동,3,73.89999999999999,77.9,9.0,3.0,0.0
경기,부천시 원미구,,7,71.78571428571429,79.9,22.0,3.142857142857143,0.0
경기,성남시 분당구,금곡동,1,78.5,78.5,0.0,,0.0
경기,성남시 분당구,금곡로,1,78.7,78.7,11.0,11.0,0.0
경기,성남시 분당구,동원동,1,72.9,72.9,0.0,0.0,1.0
경기,성남시 분당구,백현동,2,79.2,84.2,18.0,9.0,0.0
경기,성남시 분당구,분당동,1,72.2,72.2,4.0,4.0,0.0
경기,성남시 분당구,불정로,1,78.1,78.1,12.0,12.0,0.0
경기,성남시 분당구,삼평동,1,77.0,77.0,2.0,2.0,0.0
경기,성남시 분당구,서현동,2,80.7,81.7,30.0,15.0,0.0
경기,성남시 분당구,수내동,2,81.15,81.9,36.0,18.0,0.0
경기,성남시 분당구,야탑동,1,72.7,72.7,0.0,0.0,0.0
경기,성남시 분당구,양현로,1,79.0,79.0,5.0,5.0,0.0
경기,성남시 분당구,운중동,1,80.1,80.1,14.0,14.0,0.0
경기,성남시 분당구,이매동,2,77.75,78.6,17.0,8.5,0.0
경기,성남시 분당구,이매로,1,73.3,73.3,0.0,0.0,1.0
경기,성남시 분당구,정자동,4,76.65,80.1,33.0,8.25,0.0
