station_name,line_no,lat,lng,is_interchange
소요산,1,37.948898,127.061129,0
동두천,1,37.927613,127.054928,0
보산,1,37.914145,127.057179,0
동두천중앙,1,37.901781,127.056423,0
지행,1,37.892343,127.055793,0
덕정,1,37.843188,127.061559,0
덕계,1,37.818753,127.056692,0
양주,1,37.774142,127.044721,0
녹양,1,37.759385,127.042279,0
가능,1,37.748396,127.044288,0
의정부,1,37.738362,127.045957,0
회룡,1,37.723806,127.047295,1
회룡,U,37.724995,127.047069,1
망월사,1,37.710219,127.047418,0
도봉산,1,37.689512,127.046063,1
도봉산,7,37.689630,127.046426,1
도봉,1,37.679212,127.045535,0
방학,1,37.667438,127.044322,0
창동,1,37.653339,127.047645,1
창동,4,37.653371,127.048388,1
녹천,1,37.644633,127.051383,0
월계,1,37.633278,127.058857,0
광운대,1,37.623837,127.061695,0
석계,1,37.615006,127.065688,1
석계,6,37.615149,127.066703,1
신이문,1,37.601782,127.067398,0
외대앞,1,37.596273,127.063693,0
회기,1,37.589796,127.058048,1
회기,G,37.589922,127.058538,1
회기,K,37.589530,127.057826,1
청량리,1,37.580039,127.044727,1
청량리,G,37.581273,127.048636,1
청량리,K,37.580279,127.047866,1
청량리,B,37.580895,127.047848,1
제기동,1,37.578175,127.034949,0
신설동,1,37.576030,127.024457,1
신설동,2,37.574805,127.024918,1
신설동,W,37.576553,127.023207,1
동묘앞,1,37.573217,127.016364,1
동묘앞,6,37.572172,127.015726,1
동대문,1,37.571668,127.010632,1
동대문,4,37.570907,127.009314,1
종로5가,1,37.570976,127.001539,0
종로3가,1,37.570421,126.992153,1
종로3가,3,37.570421,126.992153,1
종로3가,5,37.572590,126.990419,1
종각,1,37.570229,126.983152,0
시청,1,37.565344,126.977199,1
시청,2,37.563683,126.975597,1
서울역,1,37.555980,126.972091,1
서울역,4,37.553029,126.972645,1
서울역,A,37.553331,126.969747,1
남영,1,37.540566,126.971332,0
용산,1,37.529774,126.964630,1
용산,K,37.529608,126.964756,1
노량진,1,37.514055,126.942110,1
노량진,9,37.513586,126.940893,1
대방,1,37.513354,126.926497,0
신길,1,37.516787,126.918367,1
신길,5,37.517664,126.914914,1
