단지번호,단지명,시구,동,원인,최소면적_㎡,최대면적_㎡,준공년월,위도,경도
14,등촌주공8단지,강서구,가양동,c_name_var,56.83,56.83,199411.0,37.561359,126.851355
1305,가양2단지성지,강서구,가양동,c_name_var,56.91,56.91,199211.0,37.570419,126.847209
10,등촌주공10단지,강서구,가양동,c_name_var,55.51,55.51,199510.0,37.562241,126.848433
13,등촌주공5단지,강서구,가양동,c_name_var,55.27,55.27,199510.0,37.560782,126.844811
11,등촌주공2단지,강서구,가양동,c_name_var,56.83,57.94,199506.0,37.565099,126.843069
12,등촌주공3단지,강서구,가양동,c_name_var,79.91,79.91,199510.0,37.561808,126.841048
1020,마곡벽산,강서구,가양동,c_name_var,84.02,84.02,199906.0,37.57615,126.83803
1016,한사랑삼성2차,강서구,가양동,c_name_var,78.5,78.5,199906.0,37.55453,126.864407
1017,등촌마을서광,강서구,가양동,c_name_var,79.2,79.2,199904.0,37.557794,126.85716
1012,강나루현대,강서구,가양동,c_name_var,80.71,80.71,199903.0,37.560918,126.856953
131669,DMC한강자이더헤리티지,강서구,가양동,c_name_var,108.5,108.63,202211.0,37.580473,126.861749
15,미주진로,강서구,가양동,c_name_var,105.63,105.63,199410.0,37.560119,126.847085
4,등촌대림,강서구,가양동,c_name_var,113.91,113.91,199507.0,37.562883,126.846872
132472,DMC자이더포레리버뷰,강서구,가양동,b_no_trade,109.92,110.73,202210.0,37.581465,126.859689
137417,DMC한강호반써밋,강서구,가양동,c_name_var,107.95,108.91,202212.0,37.582831,126.861836
31,방화3단지청솔,강서구,개화동,c_name_var,63.01,63.8,199407.0,37.575754,126.812734
23,도시개발2단지,강서구,개화동,c_name_var,65.29,65.29,199310.0,37.574928,126.819007
905,마곡중앙하이츠,강서구,공항동,c_name_var,66.1,75.37,199405.0,37.570577,126.806817
33,마곡현대1차,강서구,공항동,c_name_var,102.73,102.73,199311.0,37.57039,126.814268
9410,마곡우림필유,강서구,공항동,c_name_var,102.76,103.3,200312.0,37.571676,126.821164
22555,우장산아이파크e편한세상,강서구,내발산동,c_name_var,79.93,79.93,200801.0,37.549391,126.839113
870,염창동아3차,강서구,등촌동,c_name_var,78.32,78.49,199901.0,37.549809,126.877709
36,한마음삼성,강서구,등촌동,c_name_var,85.55,85.55,199507.0,37.554575,126.868198
869,염창동아1차,강서구,등촌동,c_name_var,85.4,85.4,199806.0,37.554818,126.872846
34,삼성관음,강서구,등촌동,c_name_var,108.63,108.63,199708.0,37.552728,126.869165
38,염창우성1차,강서구,등촌동,c_name_var,101.75,104.58,199011.0,37.556405,126.871124
10307,목동롯데캐슬위너,강서구,등촌동,c_name_var,107.31,107.43,200506.0,37.546745,126.867264
13859,등촌아이파크,강서구,등촌동,c_name_var,105.25,105.84,200401.0,37.544062,126.859983
661,목동한신청구,강서구,염창동,c_name_var,103.22,103.22,199712.0,37.541612,126.881769
102634,원종금호어울림,강서구,오쇠동,c_name_var,81.01,81.01,201102.0,37.528603,126.802904
42,화곡대림,강서구,화곡동,c_name_var,101.31,101.31,199208.0,37.533749,126.837229
121758,영등포중흥S-클래스,양천구,목동,c_name_var,77.64,83.86,202103.0,37.523659,126.886616
3447,신정아이파크,양천구,목동,c_name_var,86.32,86.32,200207.0,37.521766,126.871748
9797,목동대원칸타빌,양천구,목동,c_name_var,106.07,108.33,200306.0,37.531378,126.86717
11926,목동금호어울림,양천구,목동,c_name_var,106.41,106.79,200411.0,37.533928,126.868725
107728,신정뉴타운롯데캐슬,양천구,신월동,c_name_var,79.99,80.34,201402.0,37.519036,126.847468
102874,신정이펜하우스1단지,양천구,신월동,c_name_var,107.79,107.79,201107.0,37.514855,126.827274
102875,신정이펜하우스2단지,양천구,신월동,c_name_var,111.69,112.73,201104.0,37.515968,126.83048
104360,신정뉴타운두산위브,양천구,신월동,c_name_var,110.4,110.4,201211.0,37.519379,126.845653
672,신트리1단지,양천구,신정동,f_other,69.43,69.64,199905.0,37.514022,126.854411
3444,신트리4단지,양천구,신정동,f_other,66.66,67.41,200005.0,37.511138,126.850655
3354,"신도림대림1,2차(e편한세상)",양천구,신정동,c_name_var,78.42,82.54,199911.0,37.505825,126.880348
1074,신도림동아1차,양천구,신정동,c_name_var,80.68,80.68,199911.0,37.511167,126.882755
1068,고척대우,양천구,신정동,c_name_var,84.66,84.66,199902.0,37.502964,126.856017
8714,신도림5차e-편한세상,양천구,신정동,c_name_var,107.67,107.67,200308.0,37.506805,126.880796
3443,신트리3단지,양천구,신정동,f_other,109.87,110.82,200010.0,37.511963,126.853052
8742,목동우성2차,양천구,신정동,c_name_var,106.16,106.16,200003.0,37.507451,126.865426
8919,신도림7차e-편한세상,양천구,신정동,c_name_var,107.87,107.87,200406.0,37.508337,126.882684
967,영등포삼환,영등포구,당산동,c_name_var,86.64,86.64,199905.0,37.52962,126.904927
104791,래미안밤섬리베뉴I,영등포구,당산동,c_name_var,84.69,84.69,201410.0,37.547162,126.925379
3449,문래삼환,영등포구,당산동1가,c_name_var,74.43,74.43,200109.0,37.513694,126.8899
3210,신도림동아3차,영등포구,당산동1가,c_name_var,81.63,81.63,200011.0,37.509883,126.884234
3209,신도림동아2차,영등포구,당산동1가,c_name_var,85.86,85.86,200005.0,37.509096,126.885829
1221,신길경남,영등포구,당산동1가,c_name_var,86.92,86.92,199906.0,37.515832,126.918318
707,베어스타운,영등포구,당산동1가,c_name_var,105.9,105.9,199705.0,37.519147,126.885261
888,대림코오롱,영등포구,당산동1가,c_name_var,108.44,108.44,199810.0,37.506716,126.895263
3356,신도림4차e-편한세상,영등포구,당산동1가,c_name_var,114.95,114.95,200305.0,37.511129,126.887359
722,신길우성3차,영등포구,대림동,c_name_var,72.72,72.72,198904.0,37.49696,126.909079
3386,보라매롯데낙천대,영등포구,대림동,c_name_var,74.93,74.93,200308.0,37.494631,126.913501
132,신도림롯데,영등포구,대림동,c_name_var,81.27,81.27,199911.0,37.50347,126.884476
117792,신길센트럴자이,영등포구,대림동,c_name_var,79.59,85.93,202104.0,37.503154,126.907623
107424,래미안프레비뉴,영등포구,대림동,c_name_var,82.92,82.92,201512.0,37.504875,126.907791
117254,보라매SK뷰,영등포구,대림동,c_name_var,83.73,83.73,202001.0,37.50361,126.918573
3333,신림신도브래뉴,영등포구,대림동,c_name_var,103.05,106.07,200304.0,37.483885,126.91092
10663,구로중앙하이츠(1269),영등포구,도림동,c_name_var,85.07,85.07,200109.0,37.49902,126.880799
7960,대방주공2단지,영등포구,신길동,c_name_var,71.23,71.23,199504.0,37.509563,126.92947
364,대방대림,영등포구,신길동,c_name_var,84.47,84.47,199311.0,37.50752,126.924726
368,대방현대1차,영등포구,신길동,c_name_var,97.86,97.86,199408.0,37.513057,126.93069
115201,마포한강아이파크,영등포구,양평동5가,c_name_var,76.96,77.41,201908.0,37.55269,126.90306
3803,리버힐삼성,영등포구,여의도동,c_name_var,75.06,75.61,200101.0,37.534791,126.950404
1222,강변삼성스위트,영등포구,여의도동,c_name_var,79.82,80.32,199912.0,37.534044,126.948536
143,구로한신1차,구로구,가리봉동,c_name_var,60.46,60.46,198812.0,37.496403,126.873725
154299,철산자이더헤리티지,구로구,가리봉동,c_name_var,85.09,85.55,202505.0,37.482863,126.869092
163557,철산자이브리에르,구로구,가리봉동,c_name_var,81.3,81.3,202601.0,37.485553,126.868552
141,중앙구로하이츠(685-124),구로구,가리봉동,c_name_var,101.99,101.99,198711.0,37.497109,126.875931
169598,트리우스광명,구로구,개봉동,c_name_var,56.25,56.25,202412.0,37.486354,126.860526
163177,광명센트럴아이파크,구로구,개봉동,c_name_var,61.8,61.8,202511.0,37.482754,126.857974
1063,우성현대,구로구,개봉동,c_name_var,78.39,78.39,198711.0,37.498856,126.862639
17538,개봉아이파크,구로구,개봉동,c_name_var,80.54,80.54,200606.0,37.489991,126.859935
160917,광명자이더샵포레나,구로구,개봉동,c_name_var,82.68,83.42,202512.0,37.488046,126.86366
1062,개봉한진타운,구로구,개봉동,c_name_var,88.78,88.78,200001.0,37.484955,126.851689
9046,오류푸르지오,구로구,개봉동,c_name_var,105.88,105.88,200404.0,37.492041,126.841901
10151,광명롯데낙천대,구로구,개봉동,c_name_var,103.68,108.19,200502.0,37.491477,126.867398
8759,신정e-편한세상,구로구,고척동,c_name_var,109.44,109.44,200401.0,37.512768,126.843153
1718,일두맨션,구로구,궁동,c_name_var,57.75,57.75,198308.0,37.486203,126.809404
9629,금강수목원,구로구,궁동,c_name_var,81.54,81.54,200309.0,37.488297,126.832348
19415,부천동부센트레빌3단지,구로구,궁동,c_name_var,79.35,79.56,200607.0,37.491618,126.812021
102876,신정이펜하우스3단지,구로구,궁동,c_name_var,116.37,116.37,201106.0,37.512905,126.830539
